sec,x,y
1.0,55.3018,25.7463
2.0,55.2834,25.7381
3.0,55.264,25.7294
4.0,55.2413,25.7203
5.0,55.2151,25.7116
6.0,55.1864,25.7011
7.0,55.1567,25.6878
8.0,55.1245,25.6715
9.0,55.1029,25.6542
10.0,55.0802,25.6369
11.0,55.0533,25.6176
12.0,55.027,25.6055
13.0,54.9981,25.5948
14.0,54.9718,25.5867
15.0,54.9471,25.5772
16.0,54.9216,25.5675
17.0,54.8955,25.561
18.0,54.8703,25.5574
19.0,54.8441,25.5543
20.0,54.817,25.552
21.0,54.7899,25.55
22.0,54.7639,25.5431
23.0,54.7395,25.5346
24.0,54.7149,25.5241
25.0,54.6919,25.5137
26.0,54.6733,25.5026
27.0,54.6562,25.4902
28.0,54.6391,25.4764
29.0,54.6251,25.4679
30.0,54.6139,25.4632
31.0,54.606,25.4599
32.0,54.6005,25.459
33.0,54.5925,25.4549
34.0,54.5852,25.4499
35.0,54.5774,25.4455
36.0,54.5609,25.443
37.0,54.5454,25.4418
38.0,54.5239,25.4439
39.0,54.5011,25.4422
40.0,54.4666,25.438
41.0,54.4262,25.4341
42.0,54.3718,25.4338
43.0,54.3202,25.44
44.0,54.2686,25.4448
45.0,54.2144,25.4502
46.0,54.1654,25.456
47.0,54.1156,25.4611
48.0,54.0651,25.4645
49.0,54.0102,25.4708
50.0,53.9637,25.4788
51.0,53.9202,25.488
52.0,53.8871,25.4999
53.0,53.8523,25.507
54.0,53.8149,25.5171
55.0,53.779,25.5272
56.0,53.7426,25.5409
57.0,53.7039,25.5554
58.0,53.6694,25.5719
59.0,53.6383,25.5818
60.0,53.6072,25.5958
61.0,53.5767,25.6093
62.0,53.5406,25.6124
63.0,53.5023,25.6189
64.0,53.4627,25.6276
65.0,53.4198,25.6378
66.0,53.3787,25.6474
67.0,53.3363,25.6583
68.0,53.2961,25.6684
69.0,53.2572,25.6804
70.0,53.2163,25.6874
71.0,53.177,25.6956
72.0,53.1402,25.7096
73.0,53.1065,25.7242
74.0,53.0742,25.7373
75.0,53.0461,25.7531
76.0,53.0165,25.764
77.0,52.9917,25.7744
78.0,52.9644,25.7823
79.0,52.9393,25.7906
80.0,52.9127,25.7978
81.0,52.8883,25.8061
82.0,52.8672,25.8154
83.0,52.8476,25.8239
84.0,52.8291,25.8314
85.0,52.8087,25.8374
86.0,52.7889,25.8478
87.0,52.7658,25.862
88.0,52.7446,25.8796
89.0,52.7206,25.8991
90.0,52.7065,25.9195
91.0,52.6901,25.9381
92.0,52.6739,25.9558
93.0,52.6545,25.9772
94.0,52.6344,26.0003
95.0,52.6188,26.0225
96.0,52.6035,26.0448
97.0,52.5891,26.0658
98.0,52.5717,26.0881
99.0,52.5539,26.1149
100.0,52.5336,26.142
101.0,52.5115,26.1668
102.0,52.4889,26.1879
103.0,52.47,26.202
104.0,52.454,26.2143
105.0,52.437,26.2217
106.0,52.4221,26.2252
107.0,52.4077,26.2249
108.0,52.3987,26.2212
109.0,52.3923,26.2124
110.0,52.3862,26.2019
111.0,52.3834,26.1932
