Object,Start,End,Count,Surface area,Flat area,Volume,
d006,1,152,152,14.7439,50.5243,2.17255,
D006,1,152,152,4.76736,6.3987,0.275144,
d006_c02,27,32,6,0.109111,0.0798936,0.00343543,
d006_c03,17,19,3,0.073332,0.0686698,0.0029528,
d006_c04,14,17,4,0.122404,0.126423,0.00456296,
d006_c05,20,22,3,0.0525721,0.0326448,0.00140373,
d006_c06,18,21,4,0.0880363,0.0722775,0.00310793,
d006_c07,10,12,3,0.0842811,0.0907205,0.00390098,
d006_c08,21,30,14,0.479186,0.574835,0.0247179,
d006_c09,36,39,4,0.108277,0.11449,0.00492307,
d006_c10,59,66,10,0.366587,0.418632,0.0180012,
d006_c11,37,39,3,0.0811887,0.0620305,0.00266731,
d006_c12,14,16,3,0.0783359,0.0794938,0.00341823,
d006_c13_shaft_symmetric,37,45,9,0.30585,0.313368,0.0134748,
d006_c14,56,60,5,0.121844,0.112591,0.0048414,
d006_c15,40,47,8,0.241076,0.244226,0.0105017,
d006_c16,55,58,4,0.0961869,0.093787,0.00403284,
d006_c17,50,58,9,0.20238,0.166235,0.0071481,
d006_c18a,50,56,7,0.276623,0.311746,0.0134051,
d006_c18b,27,29,3,0.0713314,0.0628647,0.00270318,
d006_c19,63,66,4,0.0671561,0.0417849,0.00179675,
d006_c20,51,54,4,0.111377,0.103234,0.00443907,
d006_c21a,65,70,6,0.10364,0.066943,0.00287855,
d006_c21b,71,72,2,0.0268533,0.0147134,0.000632675,
d006_c22a,67,73,7,0.118696,0.0710098,0.00305342,
d006_c22b,84,91,8,0.171129,0.132495,0.00569731,
d006_c23,87,95,10,0.437932,0.455394,0.0195819,
d006_c24,80,84,5,0.116685,0.08999,0.00386957,
d006_c25_shaft_symmetric,82,91,10,0.274227,0.207812,0.0089359,
d006_c26,72,75,4,0.0543935,0.0287139,0.0012347,
d006_c27,90,91,2,0.0632274,0.0802508,0.00345078,
d006_c28,96,101,6,0.105101,0.0671099,0.00288573,
d006_c29,105,110,6,0.0910016,0.0501486,0.00215639,
d006_c30,105,109,5,0.0936584,0.0634118,0.00272671,
d006_c31,97,99,3,0.114218,0.156827,0.00674358,
d006_c32,113,116,4,0.0562061,0.0334506,0.00143837,
d006_c33a,99,110,13,0.498463,0.45699,0.0196506,
d006_c33b,101,102,2,0.0562575,0.0609959,0.00262282,
d006_c35,121,125,5,0.100412,0.0712553,0.00306398,
d006_c36,99,110,16,0.51123,0.489143,0.0210331,
d006_c37a,117,127,11,0.257642,0.192434,0.00827466,
d006_c37b,142,145,4,0.0669893,0.0381622,0.00164098,
d006_c38,131,134,4,0.117634,0.117586,0.00505621,
d006_c39,144,150,7,0.161467,0.141273,0.00607473,
d006_c42_shaft_symmetric,107,111,5,0.138502,0.136542,0.00587132,
d006_cfa02,27,32,6,0.0343712,0.0343712,0,
d006_cfa03,17,19,3,0.0256272,0.0256272,0,
d006_cfa04,14,17,4,0.0459743,0.0459743,0,
d006_cfa05,20,22,3,0.0184159,0.0184159,0,
d006_cfa06,18,21,4,0.031816,0.031816,0,
d006_cfa07,11,12,3,0.0544315,0.0394893,0.00139626,
d006_cfa08,21,30,14,0.188846,0.188846,0,
d006_cfa09,36,38,5,0.0559645,0.0470926,0.00114995,
d006_cfa10,59,66,10,0.17425,0.176289,0.00128118,
d006_cfa11,37,39,3,0.0295466,0.0295466,0,
d006_cfa12,15,16,4,0.0510789,0.0354331,0.00115643,
d006_cfa13_shaft_symmetric,37,45,9,0.117896,0.117896,0,
d006_cfa14,56,60,5,0.0427184,0.0427184,0,
d006_cfa15,40,47,8,0.0906791,0.0906791,0,
d006_cfa16,55,58,4,0.0470508,0.0403716,0.000813786,
d006_cfa17,50,58,9,0.0772013,0.0772013,0,
d006_cfa18a,50,56,7,0.115227,0.115227,0,
d006_cfa18b,27,29,3,0.0248925,0.0248925,0,
d006_cfa19,63,66,4,0.0220054,0.0220054,0,
d006_cfa20,51,54,4,0.0361326,0.0361326,0,
d006_cfa21a,65,70,6,0.0338056,0.0338056,0,
d006_cfa21b,71,72,2,0.00655548,0.00655548,0,
d006_cfa22a,67,73,7,0.0421167,0.0421167,0,
d006_cfa22b,84,91,8,0.0616255,0.0616255,0,
d006_cfa23,87,95,11,0.232038,0.231443,0.00152439,
d006_cfa24,80,84,5,0.0443196,0.0443196,0,
d006_cfa25_shaft_symmetric,82,91,10,0.104043,0.104043,0,
d006_cfa26,72,75,4,0.0185387,0.0185387,0,
d006_cfa27,91,91,1,0.0278382,0.029641,0.00127456,
d006_cfa28,96,101,6,0.0344152,0.0344152,0,
d006_cfa29,105,110,6,0.0307906,0.0307906,0,
d006_cfa30,105,109,5,0.0313726,0.0313726,0,
d006_cfa31,97,99,4,0.0762627,0.0730782,0.00248224,
d006_cfa32,113,116,4,0.0155863,0.0155863,0,
d006_cfa33a,99,110,13,0.217575,0.217575,0,
d006_cfa33b,102,102,1,0.0276575,0.0288578,0.00124088,
d006_cfa35,121,125,5,0.0335874,0.0335874,0,
d006_cfa36,99,110,16,0.226853,0.224421,0.00116456,
d006_cfa37a,117,127,11,0.103237,0.103237,0,
d006_cfa37b,142,145,4,0.0252974,0.0252974,0,
d006_cfa38,131,134,4,0.0428534,0.0428534,0,
d006_cfa39,144,150,7,0.0544933,0.0544933,0,
d006_cfa42_shaft_symmetric,107,111,5,0.0443716,0.0443716,0,
d006_INC,1,149,11,0.0940899,0.00691573,0.000297376,
d006_mt_high,142,142,12,0.0185174,0.00117778,5.06445e-05,
d006_mt_low,8,8,11,0.0181713,0.00121883,5.24097e-05,
d006_mt_mid,91,91,15,0.0204168,0.00112801,4.85042e-05,
d006_mt_mid2,96,96,15,0.0201795,0.00110226,4.7397e-05,
d006_o01_incomplete,1,3,3,0.020738,0.00372559,0.0001602,
d006_o02,2,4,3,0.0207507,0.00373036,0.000160405,
d006_o03,4,7,4,0.018139,0.00213779,9.1925e-05,
