section,Trace,Comment,Length,Area,Thickness,
1,d006,,2.50745,0.402041,0.043,
1,D006,,0.7294,0.0420967,0.043,
1,d006_INC,,0.326268,0.0014651,0.043,
1,d006_o01_incomplete,,0.160975,0.00124519,0.043,
1,d006_p01_incomplete,,1.7998,0.103654,0.043,
2,d006,,2.73138,0.440529,0.043,
2,D006,,0.7294,0.0420967,0.043,
2,d006_INC,,0.326875,0.001469,0.043,
2,d006_o01_incomplete,,0.160652,0.0012402,0.043,
2,d006_o02,,0.160799,0.00124258,0.043,
2,d006_p01_incomplete,,1.34608,0.0550786,0.043,
2,d006_p02,,0.596568,0.0168792,0.043,
3,d006,,2.61314,0.442039,0.043,
3,D006,,0.7294,0.0420967,0.043,
3,d006_INC,,0.326875,0.001469,0.043,
3,d006_o01_incomplete,,0.160652,0.0012402,0.043,
3,d006_o02,,0.160799,0.00124258,0.043,
3,d006_p01_incomplete,,0.96445,0.0253675,0.043,
3,d006_p02,,0.86092,0.0312594,0.043,
4,d006,,2.64621,0.440901,0.043,
4,D006,,0.7294,0.0420967,0.043,
4,d006_o02,,0.160975,0.00124519,0.043,
4,d006_o03,,0.105385,0.000533665,0.043,
4,d006_p02,,0.910265,0.0279922,0.043,
5,d006,,2.35381,0.371788,0.043,
5,D006,,0.7294,0.0420967,0.043,
5,d006_o03,,0.105385,0.000533665,0.043,
5,d006_p02,,0.484335,0.0145931,0.043,
5,d006_p03,,0.858062,0.0366951,0.043,
6,d006,,2.3693,0.34954,0.043,
6,D006,,0.7294,0.0420967,0.043,
6,d006_o03,,0.105533,0.00053523,0.043,
6,d006_p02,,0.492253,0.0151432,0.043,
6,d006_p03,,0.907364,0.030508,0.043,
7,d006,,2.45156,0.369637,0.043,
7,D006,,0.7294,0.0420967,0.043,
7,d006_o03,,0.105533,0.00053523,0.043,
7,d006_p02,,0.537602,0.0182738,0.043,
7,d006_p03,,0.43591,0.0133736,0.043,
8,d006,,2.42133,0.366348,0.043,
8,D006,,0.7294,0.0420967,0.043,
8,d006_mt_low,,0.0384869,0.0001112,0.043,
8,d006_mt_low,,0.0384869,0.0001112,0.043,
8,d006_mt_low,,0.0383455,0.000110405,0.043,
8,d006_mt_low,,0.0383455,0.000110405,0.043,
8,d006_mt_low,,0.0383455,0.000110405,0.043,
8,d006_mt_low,,0.0384274,0.0001108,0.043,
8,d006_mt_low,,0.0384869,0.0001112,0.043,
8,d006_mt_low,,0.0386274,0.000112,0.043,
8,d006_mt_low,,0.0383455,0.000110405,0.043,
8,d006_mt_low,,0.0383455,0.000110405,0.043,
8,d006_mt_low,,0.0383455,0.000110405,0.043,
8,d006_p02,,0.631013,0.0279099,0.043,
8,d006_p03,,0.45062,0.0151291,0.043,
9,d006,,2.4324,0.369251,0.043,
9,D006,,0.7294,0.0420967,0.043,
9,d006_o04,,0.0907091,0.00039543,0.043,
9,d006_p02,,0.58199,0.0256074,0.043,
9,d006_p03,,0.473831,0.0160574,0.043,
9,d006_p04,,0.460421,0.0074411,0.043,
10,d006,,2.45348,0.379228,0.043,
