Z-Trace,Start,End,Length,
d07_cl01_asyn_zlen,137,144,0.317758,
d07_cl02_syn_symm_zlen,144,186,1.94198,
d07_cl03_asyn_zlen,186,190,0.196603,
d07_cl04_syn_zlen,190,217,1.22419,
d07_cl05_asyn_zlen,217,220,0.15919,
d07_Z,39,231,12.9256,
d07_Z smooth10,39,231,9.64832,
d07_Z smooth10_analyzed_length,39,229,9.55404,
d07zlen_cu01,39,88,2.64562,
d07zlen_cu03,95,135,1.86127,
d07zlen_cu04,136,145,0.408025,
d07zlen_cu05,146,170,1.08,
d07zlen_cu07,174,185,0.608377,
d07zlen_cu09,190,212,0.990832,
d07zlen_down1,39,229,9.30422,
d07zlen_down2,39,229,9.37849,
d07zlen_up1,39,229,9.23435,
d07zlen_up2,39,224,8.98203,
