sec,x,y
1.0,4.51412,4.4604
2.0,4.50373,4.45613
3.0,4.49623,4.45088
4.0,4.49246,4.44251
5.0,4.48527,4.43752
6.0,4.47805,4.42995
7.0,4.47538,4.41927
8.0,4.47,4.40718
9.0,4.47022,4.39355
10.0,4.47035,4.38091
11.0,4.47049,4.36721
12.0,4.47616,4.35939
13.0,4.4796,4.35403
14.0,4.47907,4.34733
15.0,4.47796,4.33873
16.0,4.47321,4.31063
17.0,4.46216,4.28402
18.0,4.45073,4.25938
19.0,4.43999,4.23313
20.0,4.42805,4.20262
21.0,4.42058,4.17244
22.0,4.40992,4.13124
23.0,4.39806,4.08812
24.0,4.3863,4.04764
25.0,4.37847,4.00123
26.0,4.37335,3.9729
27.0,4.36598,3.94609
28.0,4.3608,3.917
29.0,4.35324,3.88669
30.0,4.3481,3.85791
31.0,4.3429,3.82616
32.0,4.33903,3.79793
33.0,4.33231,3.76541
34.0,4.32048,3.73405
35.0,4.3107,3.70404
36.0,4.30112,3.67474
37.0,4.2972,3.64277
38.0,4.29444,3.61136
39.0,4.28738,3.58283
40.0,4.27801,3.55875
41.0,4.26496,3.53908
42.0,4.24905,3.52169
43.0,4.23862,3.50953
44.0,4.23009,3.50028
45.0,4.21633,3.49578
46.0,4.20401,3.49457
47.0,4.18766,3.49144
48.0,4.1725,3.49668
49.0,4.16364,3.50359
50.0,4.154,3.51045
51.0,4.15207,3.51816
52.0,4.15413,3.52448
53.0,4.15879,3.53222
54.0,4.16914,3.53415
55.0,4.179,3.53079
56.0,4.19203,3.51964
57.0,4.20729,3.51431
58.0,4.22153,3.50121
59.0,4.23533,3.48844
60.0,4.25216,3.4766
61.0,4.26678,3.45821
62.0,4.28711,3.44053
63.0,4.29982,3.41898
64.0,4.31019,3.39742
65.0,4.32922,3.3714
66.0,4.34489,3.3438
67.0,4.3622,3.31264
68.0,4.37778,3.28361
69.0,4.3943,3.24623
70.0,4.4137,3.20791
71.0,4.43051,3.17619
72.0,4.44517,3.14406
73.0,4.46393,3.11386
74.0,4.48049,3.08549
75.0,4.49023,3.06294
76.0,4.49819,3.05429
77.0,4.50625,3.04269
