Z-Trace,Note,Start,End,Length,
d046_cl03_down,DDH 02.03.2020,18,57,2.23622,
d046_cl03_up,DDH 02.03.2020,18,57,2.26381,
d046_cl09_down,DDH 02.03.2020,88,104,0.915017,
d046_cl09_up,DDH 02.03.2020,88,104,0.910613,
d046_cl11_down,DDH 02.03.2020,108,135,1.50296,
d046_cl11_up,DDH 02.03.2020,108,135,1.48515,
d046_cl13_down,DDH 02.03.2020,143,163,1.04034,
d046_cl13_up,DDH 02.03.2020,143,163,1.04028,
d046_i16_p01_Z,,4,78,5.05743,
d046_i16_p02_Z,,10,78,4.62856,
d046_i16_p03_Z,,20,78,4.03427,
d046_i16_p04_Z,,21,78,3.95992,
d046_i16_p05_Z,,24,78,3.76789,
d046_i16_p06_Z,,24,78,3.76789,
d046_i16_p07_Z,,28,78,3.50498,
d046_i16_p08_Z,,34,78,2.91386,
d046_i16_p09_Z,,34,78,2.91386,
d046_i16_p10_Z,,39,78,2.59177,
d046_i16_p11_Z,,40,78,2.51055,
d046_i16_p12_Z,,46,78,2.15256,
d046_i16_p13_Z,,54,78,1.646,
d046_i16_p14_Z,,54,78,1.646,
d046_i16_p15_Z,,68,78,0.741416,
d046_i16_p17_Z,,78,79,0.0646684,
d046_i16_p18_Z,,78,90,0.733896,
d046_i16_p19_Z,,78,95,1.0758,
d046_i16_p20_Z,,78,99,1.30612,
d046_i16_p21_Z,,78,102,1.4911,
d046_i16_p22_Z,,78,110,1.94437,
d046_i16_p23_Z,,78,112,2.07551,
d046_i16_p24_Z,,78,114,2.2083,
d046_i16_p25_Z,,78,118,2.52327,
d046_i16_p26_Z,,78,124,2.91831,
d046_i16_p27_Z,,78,128,3.22954,
d046_i16_p28_Z,,78,129,3.28259,
d046_i16_p29_Z,,78,131,3.39664,
d046_i16_p30_Z,,78,134,3.58117,
d046_i16_p31_Z,,78,144,4.25158,
d046_i16_p32_Z,,78,150,4.61289,
d046_i16_p33_Z,,78,154,4.89808,
d046_i16_p34_Z,,78,157,5.06393,
d046_i16_p35_Z,,78,161,5.29613,
d046_i16_p36_Z,,2,78,5.22927,
d046_i16_p37_Z,,25,78,3.68716,
d046_Z,,1,167,10.9629,
d046_Z smooth10,,1,167,9.42258,
d046_Z smooth10_analyzed_length,,6,163,8.9103,
