sec,x,y
1.0,10.8867,1.14737
2.0,10.8991,1.17251
3.0,10.9144,1.19572
4.0,10.9325,1.21915
5.0,10.9515,1.24401
6.0,10.9726,1.27043
7.0,10.9957,1.2985
8.0,11.0194,1.32636
9.0,11.0331,1.34769
10.0,11.0522,1.35711
11.0,11.0697,1.36027
12.0,11.0855,1.35594
13.0,11.0969,1.35038
14.0,11.1059,1.34495
15.0,11.1135,1.34081
16.0,11.1189,1.33562
17.0,11.1278,1.32859
18.0,11.1409,1.31973
19.0,11.1579,1.31234
20.0,11.1745,1.30713
21.0,11.1915,1.30934
22.0,11.2078,1.31101
23.0,11.2248,1.32096
24.0,11.2417,1.33247
25.0,11.2632,1.34028
26.0,11.2934,1.34885
27.0,11.3197,1.35596
28.0,11.3427,1.37597
29.0,11.3764,1.39447
30.0,11.4171,1.41753
31.0,11.4536,1.43839
32.0,11.4908,1.46291
33.0,11.5284,1.48708
34.0,11.5653,1.51063
35.0,11.6012,1.53704
36.0,11.6342,1.5648
37.0,11.6676,1.59716
38.0,11.7006,1.61832
39.0,11.7253,1.64151
40.0,11.7446,1.66077
41.0,11.7675,1.67625
42.0,11.7894,1.68719
43.0,11.8125,1.6932
44.0,11.8369,1.69821
45.0,11.8519,1.70035
46.0,11.8564,1.70028
47.0,11.8576,1.69693
48.0,11.8609,1.6966
49.0,11.861,1.69758
50.0,11.8612,1.69906
51.0,11.8556,1.7017
52.0,11.854,1.70479
53.0,11.8539,1.71331
54.0,11.8584,1.72102
55.0,11.8689,1.73236
56.0,11.8825,1.74385
57.0,11.8997,1.76092
58.0,11.9118,1.77607
59.0,11.9231,1.7926
60.0,11.9269,1.80999
61.0,11.9377,1.82464
62.0,11.9397,1.83651
63.0,11.9409,1.84184
64.0,11.9403,1.84729
65.0,11.9424,1.84981
66.0,11.948,1.85266
67.0,11.9502,1.85606
68.0,11.9573,1.86863
69.0,11.9678,1.88908
70.0,11.9787,1.90895
71.0,11.9847,1.93013
72.0,11.9975,1.9593
73.0,12.0114,1.99192
74.0,12.0241,2.02628
75.0,12.0371,2.06345
76.0,12.0468,2.10363
77.0,12.0603,2.13963
78.0,12.0744,2.16884
79.0,12.0874,2.18676
80.0,12.1045,2.2055
81.0,12.1258,2.22423
82.0,12.1483,2.23377
83.0,12.1694,2.23924
84.0,12.1887,2.24587
85.0,12.2073,2.25089
86.0,12.2288,2.25128
87.0,12.2474,2.25052
88.0,12.2623,2.24837
89.0,12.2768,2.24954
90.0,12.2976,2.25341
91.0,12.3188,2.26236
92.0,12.3384,2.27422
93.0,12.36,2.28919
94.0,12.3821,2.30127
95.0,12.4043,2.31331
96.0,12.427,2.32807
97.0,12.4517,2.34449
98.0,12.4778,2.36313
99.0,12.5079,2.37735
100.0,12.5317,2.38758
101.0,12.5535,2.39378
102.0,12.5752,2.39972
103.0,12.5948,2.40474
104.0,12.6146,2.41008
105.0,12.6335,2.41436
106.0,12.6517,2.41726
107.0,12.6732,2.4178
108.0,12.6947,2.4123
109.0,12.7118,2.41298
110.0,12.7273,2.41886
111.0,12.7412,2.43286
112.0,12.75,2.45037
113.0,12.7523,2.46709
114.0,12.7485,2.48679
115.0,12.7442,2.50179
116.0,12.7425,2.51797
117.0,12.7356,2.53564
118.0,12.7292,2.56098
119.0,12.7226,2.58447
120.0,12.7163,2.608
121.0,12.7107,2.62991
122.0,12.7083,2.65033
123.0,12.712,2.67613
124.0,12.718,2.70723
125.0,12.7236,2.74406
126.0,12.7275,2.78076
127.0,12.7312,2.81415
128.0,12.7308,2.83705
129.0,12.7295,2.85547
130.0,12.7266,2.86866
131.0,12.7251,2.87718
132.0,12.7235,2.88603
133.0,12.7212,2.88492
134.0,12.7248,2.87021
135.0,12.7288,2.85309
136.0,12.7351,2.83481
137.0,12.7422,2.81329
138.0,12.7545,2.78937
139.0,12.7707,2.76752
140.0,12.7878,2.74645
141.0,12.8077,2.72173
142.0,12.8275,2.70061
143.0,12.8453,2.68503
144.0,12.8568,2.67597
145.0,12.867,2.66919
146.0,12.8728,2.66146
147.0,12.8767,2.6581
148.0,12.8844,2.66134
149.0,12.8827,2.66325
150.0,12.8806,2.66637
151.0,12.8725,2.67249
152.0,12.8643,2.67538
153.0,12.8591,2.67681
154.0,12.8578,2.67683
155.0,12.8533,2.6755
156.0,12.8476,2.67635
157.0,12.847,2.67772
158.0,12.8402,2.67815
159.0,12.8387,2.67853
160.0,12.8378,2.6775
161.0,12.8414,2.67304
162.0,12.8451,2.66742
163.0,12.8494,2.65963
164.0,12.8527,2.6521
165.0,12.8595,2.64522
166.0,12.8674,2.63665
167.0,12.8722,2.62842
