section,Trace,Comment,Length,Area,Thickness,
85,D05dia1,,0.522011,0,0.048,
88,d05,,2.53969,0.403264,0.048,
89,d05,,2.60654,0.379899,0.048,
90,d05,,2.26594,0.327016,0.048,
90,d05_sp01,,0.937051,0.0539506,0.048,
91,d05,,2.1889,0.31094,0.048,
91,d05_sp01,,1.28161,0.0911561,0.048,
91,d05c01,,0.49045,0.012782,0.048,
91,d05cfa01,,0.219061,0,0.048,
92,d05,,2.26913,0.319459,0.048,
92,d05_sp01,,1.45925,0.121371,0.048,
92,d05c01,,0.657168,0.0251552,0.048,
92,d05cfa01,,0.264203,0,0.048,
93,d05,,2.20689,0.316233,0.048,
93,d05_INC,,0.19771,0.000538141,0.048,
93,d05_sp01,,1.71986,0.115354,0.048,
93,d05_sp05,,1.21081,0.0635986,0.048,
93,d05_sp22_inc,,0.573038,0.0199547,0.048,
93,d05c01,,0.666817,0.0218342,0.048,
93,d05cfa01,,0.274164,0,0.048,
93,d05p22_inc,,0.0799953,0.000307511,0.048,
94,d05,,2.26902,0.316558,0.048,
94,d05__teamsymmquestionrh05,,0.458721,0.0156649,0.048,
94,d05_INC,,0.197702,0.000538338,0.048,
94,d05_sp01,,0.481889,0.0160089,0.048,
94,d05_sp01,,1.03993,0.077426,0.048,
94,d05_sp05,,1.20647,0.0766761,0.048,
94,d05_sp22_inc,,0.559589,0.0150562,0.048,
94,d05c01,,0.510057,0.015374,0.048,
94,d05c05,,0.499292,0.0162549,0.048,
94,d05cfa01,,0.196348,0,0.048,
94,d05cfa05,,0.172095,0,0.048,
94,d05p22_inc,,0.0800101,0.000307629,0.048,
94,d05rh05,,0.0878892,0.000579682,0.048,
94,d05rh05,,0.0879092,0.000579958,0.048,
94,d05rh05,,0.0878907,0.00057972,0.048,
94,d05rh05,,0.0878901,0.000579711,0.048,
94,d05rh05,,0.0878901,0.000579711,0.048,
95,d05,,2.27481,0.310242,0.048,
95,d05_sp01,,0.446472,0.0149043,0.048,
95,d05_sp01,,0.832037,0.0458473,0.048,
95,d05_sp05,,1.41271,0.118402,0.048,
95,d05c05,,0.709481,0.0319971,0.048,
95,d05cfa05,,0.296802,0,0.048,
96,d05,,2.43489,0.361747,0.048,
96,d05_sp01,,0.990633,0.0491034,0.048,
96,d05_sp05,,1.57823,0.137946,0.048,
96,d05c05,,0.738408,0.0318057,0.048,
96,d05cfa05,,0.329387,0,0.048,
96,d05p01,,0.0932316,0.000652317,0.048,
96,d05plinn01,,0.243161,0.00369455,0.048,
96,d05plinnALL,,0.243161,0.00369455,0.048,
96,d05plinnall,,0.243161,0.00369455,0.048,
96,d05SER,,0.163091,0.00182329,0.048,
96,d05SER,,0.230397,0.00366033,0.048,
96,d05SER,,0.338337,0.0047614,0.048,
97,d05,,2.37228,0.353098,0.048,
97,d05_sp01,,0.996139,0.0554871,0.048,
97,d05_sp05,,1.66483,0.150588,0.048,
97,d05c05,,0.68047,0.0296129,0.048,
97,d05cfa05,,0.285698,0,0.048,
97,d05p01,,0.0569532,0.000243426,0.048,
97,d05rs,,0.0796146,0.000475679,0.048,
97,d05rs,,0.0796176,0.000475721,0.048,
97,d05rs,,0.0796015,0.000475513,0.048,
97,d05rs,,0.0796006,0.000475513,0.048,
97,d05SER,,0.279699,0.00574541,0.048,
97,d05SER,,0.286103,0.0036331,0.048,
97,d05SER,,0.202542,0.00216744,0.048,
97,d05SER,,0.208096,0.00309642,0.048,
98,d05,,2.35182,0.3507,0.048,
98,d05_sp01,,0.670573,0.0231614,0.048,
98,d05_sp03,,0.953085,0.046203,0.048,
98,d05_sp05,,1.74947,0.165208,0.048,
98,d05c05,,0.557821,0.02176,0.048,
98,d05cfa05,,0.447249,0.00937344,0.048,
98,d05p01,,0.0569502,0.0002434,0.048,
98,d05SER,,0.348105,0.00582764,0.048,
98,d05SER,,0.21971,0.00248372,0.048,
98,d05SER,,0.169561,0.00109387,0.048,
99,d05,,2.31755,0.343284,0.048,
99,d05_sp03,,1.27342,0.0794752,0.048,
99,d05_sp05,,1.20928,0.100408,0.048,
99,d05_sp05,,0.731074,0.0331291,0.048,
99,d05SER,,1.0043,0.0149719,0.048,
99,d05SER,,0.410762,0.00536013,0.048,
100,d05,,2.46108,0.364636,0.048,
100,d05_sp03,,1.36965,0.100544,0.048,
100,d05_sp05,,1.15497,0.0922206,0.048,
100,d05_sp05,,0.564762,0.0208735,0.048,
100,d05c03,,0.681059,0.0291255,0.048,
100,d05cfa03,,0.263186,0,0.048,
100,d05SER,,0.268058,0.00434174,0.048,
100,d05SER,,0.539032,0.0129554,0.048,
100,d05SER,,0.246557,0.00307559,0.048,
101,d05,,2.52026,0.390683,0.048,
101,d05_sp03,,1.4136,0.107774,0.048,
101,d05_sp05,,1.08316,0.0769347,0.048,
101,d05_sp05,,0.531737,0.0171432,0.048,
101,d05c03,,0.793319,0.0331103,0.048,
101,d05cfa03,,0.304501,0,0.048,
101,d05SER,,0.321679,0.00593782,0.048,
101,d05SER,,0.267246,0.00407338,0.048,
101,d05SER,,0.173698,0.00220197,0.048,
102,d05,,2.68837,0.412441,0.048,
102,d05_sp03,,1.43434,0.113224,0.048,
102,d05_sp05,,0.866913,0.0507474,0.048,
102,d05_sp05,,0.57302,0.0183941,0.048,
102,d05c03,,0.949538,0.0519744,0.048,
102,d05cfa03,,0.376973,0,0.048,
102,d05SER,,0.511947,0.0166369,0.048,
102,d05SER,,0.30259,0.00477474,0.048,
102,d05SER,,0.196219,0.00235292,0.048,
102,d05SER,,0.266494,0.00446548,0.048,
103,d05,,2.83051,0.467633,0.048,
103,d05_sp02,,0.517006,0.0117092,0.048,
103,d05_sp03,,1.38392,0.107357,0.048,
103,d05_sp05,,0.653851,0.026117,0.048,
103,d05_sp05,,0.638173,0.0211057,0.048,
103,d05c03,,0.855535,0.042648,0.048,
103,d05cfa03,,0.323588,0,0.048,
103,d05p02,,0.261356,0.000838675,0.048,
103,d05plinn01,,0.243161,0.00369455,0.048,
103,d05plinn02,7jul2016KH,0.24316,0.00369451,0.048,
103,d05plinnALL,,0.243161,0.00369455,0.048,
103,d05plinnall,,0.243161,0.00369455,0.048,
103,d05plinnALL,7jul2016KH,0.24316,0.00369451,0.048,
103,d05plinnall,7jul2016KH,0.24316,0.00369451,0.048,
103,d05plinnall2,,0.243161,0.00369455,0.048,
103,d05plinnall2,,0.243161,0.00369455,0.048,
103,d05plinnall2,7jul2016KH,0.24316,0.00369451,0.048,
103,d05SER,,0.105051,0.000798112,0.048,
103,d05SER,,0.505295,0.0166237,0.048,
103,d05SER,,0.239336,0.00277983,0.048,
103,d05SER,,0.154352,0.00136249,0.048,
103,d05SER,,0.210459,0.00200234,0.048,
104,d05,,2.96127,0.496849,0.048,
104,d05_sp02,,1.43164,0.050807,0.048,
104,d05_sp03,,1.3411,0.0953351,0.048,
104,d05_sp05,,0.655378,0.0246134,0.048,
104,d05c03,,0.78214,0.0368194,0.048,
104,d05cfa03,,0.307371,0,0.048,
104,d05p02,,0.159633,0.000312985,0.048,
104,d05plinn02,7jul2016KH,0.24316,0.00369451,0.048,
104,d05plinn03,,0.24316,0.00369451,0.048,
104,d05plinnALL,,0.24316,0.00369451,0.048,
104,d05plinnall,,0.24316,0.00369451,0.048,
104,d05plinnALL,7jul2016KH,0.24316,0.00369451,0.048,
104,d05plinnall,7jul2016KH,0.24316,0.00369451,0.048,
104,d05plinnall2,,0.24316,0.00369451,0.048,
104,d05plinnall2,7jul2016KH,0.24316,0.00369451,0.048,
104,d05rs02,,0.0677736,0.000344716,0.048,
104,d05rs02,,0.067781,0.00034479,0.048,
104,d05rs02,,0.0677601,0.000344572,0.048,
104,d05rs02,,0.0677652,0.000344615,0.048,
104,d05SER,,0.132972,0.00125223,0.048,
104,d05SER,,0.160342,0.00161703,0.048,
104,d05SER,,0.512999,0.0184673,0.048,
104,d05SER,,0.168259,0.00192671,0.048,
104,d05SER,,0.204649,0.00295157,0.048,
105,d05,,2.8461,0.49069,0.048,
105,d05_sp02,,1.43305,0.0578444,0.048,
105,d05_sp03,,1.37737,0.0765696,0.048,
105,d05_sp05,,0.61631,0.0205206,0.048,
105,d05c03,,0.522366,0.01785,0.048,
105,d05cfa03,,0.165011,0,0.048,
105,d05p02,,0.159648,0.000312934,0.048,
105,d05p03,,0.109324,0.000573721,0.048,
105,d05rs02,,0.0677594,0.000344564,0.048,
105,d05rs02,,0.0677752,0.000344731,0.048,
105,d05rs02,,0.067757,0.000344543,0.048,
105,d05rs02,,0.0677637,0.0003446,0.048,
105,d05SER,,0.129978,0.00117642,0.048,
105,d05SER,,0.494169,0.0166851,0.048,
105,d05SER,,0.238628,0.0030687,0.048,
105,d05SER,,0.249583,0.00303416,0.048,
