Object,Start,End,Count,Surface area,Flat area,Volume,
d10,128,202,75,7.84245,23.1836,1.11281,
d10_asynaptic_region,157,174,6,0.344566,0.642309,0.0308308,
d10_c01,134,137,4,0.090351,0.0611543,0.0029354,
d10_c02,147,150,4,0.0730275,0.0387812,0.0018615,
d10_c03,156,159,4,0.0690686,0.0336681,0.00161607,
d10_c04,138,139,2,0.0454026,0.030689,0.00147307,
d10_c05,160,164,5,0.131508,0.08586,0.00412128,
d10_c06,180,186,7,0.301689,0.267661,0.0128477,
d10_c07,182,187,7,0.329648,0.292436,0.0140369,
d10_c08,189,191,3,0.0941536,0.10072,0.00483454,
d10_c09,173,177,5,0.110073,0.071362,0.00342538,
d10_c12_shaft_sym,160,167,8,0.215994,0.145988,0.00700743,
d10_c13a,156,158,3,0.160933,0.277027,0.0132973,
d10_c13b,170,171,2,0.0228453,0.00832936,0.000399809,
d10_c14,182,193,18,0.536848,0.430883,0.0206824,
d10_c14_2,193,194,2,0.0483399,0.0361323,0.00173435,
d10_cfa01_asym,134,137,4,0.0393143,0.0298247,0.00045352,
d10_cfa02_asym,147,150,4,0.0251412,0.0251412,0,
d10_cfa03_asym,156,159,4,0.0247539,0.0247539,0,
d10_cfa04_asym,138,139,2,0.0272662,0.0164486,0.00043825,
d10_cfa05_asym,160,164,5,0.0525388,0.0525388,0,
d10_cfa06_asym,180,186,7,0.123771,0.123771,0,
d10_cfa07_asym,182,187,7,0.132034,0.132034,0,
d10_cfa08_asym,189,190,2,0.0413066,0.0381373,0.00126745,
d10_cfa09_asym,173,177,5,0.04119,0.04119,0,
d10_cfa12_shaft_sym,160,167,8,0.0806829,0.0806829,0,
d10_cfa13a_asym,156,158,3,0.121157,0.198528,0.00850339,
d10_cfa13b_asym,170,171,2,0.00700842,0.00700842,0,
d10_cfa14_2_asym,193,194,2,0.0195718,0.0195718,0,
d10_cfa14_asym,182,193,18,0.255898,0.227231,0.001514,
d10_endosome_p02,147,147,1,0.00827712,0.00103248,4.95593e-05,
d10_endosome_p05,166,166,1,0.00857416,0.00110772,5.31706e-05,
d10_exclude,118,127,10,0.937648,2.50078,0.120038,
D10_inhib_160,109,202,86,3.93394,5.74124,0.27558,
d10_o01,129,133,5,0.0213358,0.00189888,9.11463e-05,
d10_o02,136,138,3,0.00981629,0.000669926,3.21564e-05,
d10_o03,153,156,4,0.0236737,0.00292231,0.000140271,
d10_o04,154,156,3,0.0232291,0.00376763,0.000180846,
d10_o05,164,168,5,0.0268304,0.00300288,0.000144138,
d10_o06,166,168,3,0.016098,0.00180167,8.64804e-05,
d10_o07,170,171,2,0.0129175,0.00174012,8.35258e-05,
d10_o08,176,178,3,0.0153722,0.00164287,7.88576e-05,
d10_o09,177,180,4,0.0204958,0.00219038,0.000105138,
d10_o10,192,198,7,0.0360572,0.00387382,0.000185943,
d10_o10_INC,192,198,7,0.0439596,0.0016509,7.92431e-05,
d10_o11,200,200,1,0.00421015,0.000369697,1.77455e-05,
d10_o11_INC,200,200,1,0.0124851,0.000931997,4.47358e-05,
d10_o12_shaft_sym,160,171,9,0.0348765,0.00299569,0.000143793,
d10_o13_branched,181,183,3,0.00818651,0.000465943,2.23652e-05,
d10_o14_multisyn,198,200,3,0.0120346,0.00100692,4.8332e-05,
d10_p01,129,137,10,0.728622,0.917429,0.0440366,
d10_p02,136,151,16,0.817536,0.735664,0.0353119,
d10_p03,153,161,10,0.515131,0.581793,0.0279261,
d10_p04,138,156,19,0.519159,0.374531,0.0179775,
d10_p05,152,168,18,0.799515,0.904481,0.0434151,
d10_p06,166,188,28,1.54118,1.99516,0.0957677,
d10_p07,170,191,22,1.48141,2.37269,0.113889,
d10_p08,176,191,16,0.674927,0.733578,0.0352118,
d10_p09,172,180,9,0.493546,0.593657,0.0284956,
d10_p10,192,202,11,0.498492,0.387721,0.0186106,
d10_p11,200,202,3,0.100427,0.1045,0.00501601,
d10_p13_a,152,182,33,1.75287,2.67095,0.128206,
d10_p13_b,170,177,8,0.258733,0.213428,0.0102445,
d10_p14,178,200,23,2.34824,4.6715,0.224232,
d10_PR_p07,171,171,1,0.0176586,0.0107283,0.000514958,
d10_scalecube,150,150,1,0.0356947,0.0192064,0.000921905,
d10_SER,128,202,92,0.580715,0.0555744,0.00266757,
d10_SER_p01,131,133,4,0.0286781,0.00319207,0.000153219,
d10_SER_p03,153,156,5,0.0298944,0.00269361,0.000129293,
d10_SER_p06,165,179,13,0.0997123,0.0116948,0.00056135,
d10_SER_p08,175,185,8,0.06702,0.00851233,0.000408592,
d10_SER_p13,182,184,3,0.0201805,0.0020459,9.82032e-05,
