section,Trace,Length,Area,Thickness,
109,D10_inhib_160,0.64191,0.029873,0.048,
110,D10_inhib_160,0.735731,0.0354951,0.048,
111,D10_inhib_160,0.758031,0.0385849,0.048,
112,D10_inhib_160,0.652598,0.0232347,0.048,
113,D10_inhib_160,0.794026,0.0304948,0.048,
114,D10_inhib_160,1.33415,0.0954274,0.048,
115,D10_inhib_160,1.04525,0.0468006,0.048,
116,D10_inhib_160,1.03666,0.0631679,0.048,
117,D10_inhib_160,0.613455,0.0238574,0.048,
118,d10_exclude,1.69671,0.16756,0.048,
118,D10_inhib_160,0.908127,0.0488763,0.048,
119,d10_exclude,1.7694,0.187672,0.048,
119,D10_inhib_160,0.757425,0.0360134,0.048,
120,d10_exclude,1.80578,0.196674,0.048,
120,D10_inhib_160,0.934475,0.0658854,0.048,
121,d10_exclude,1.85475,0.21028,0.048,
121,D10_inhib_160,0.912846,0.0654841,0.048,
122,d10_exclude,1.92884,0.227462,0.048,
122,D10_inhib_160,0.997177,0.068111,0.048,
123,d10_exclude,2.05182,0.27451,0.048,
123,D10_inhib_160,0.845736,0.0529601,0.048,
124,d10_exclude,2.01442,0.27681,0.048,
124,D10_inhib_160,0.852765,0.0541393,0.048,
125,d10_exclude,2.08144,0.300753,0.048,
125,D10_inhib_160,1.19487,0.110047,0.048,
126,d10_exclude,2.13113,0.309739,0.048,
126,D10_inhib_160,1.06894,0.0880722,0.048,
127,d10_exclude,2.20004,0.349322,0.048,
127,D10_inhib_160,1.24705,0.123377,0.048,
128,d10,2.27754,0.321214,0.048,
128,d10_SER,0.148446,0.000765146,0.048,
129,d10,2.2147,0.31378,0.048,
129,D10_inhib_160,1.29473,0.128421,0.048,
129,d10_o01,0.0888967,0.000379752,0.048,
129,d10_p01,0.444418,0.00969315,0.048,
129,d10_SER,0.14848,0.000765332,0.048,
130,d10,2.25631,0.32726,0.048,
130,D10_inhib_160,1.39455,0.154069,0.048,
130,d10_o01,0.0888967,0.000379752,0.048,
130,d10_p01,0.720615,0.0232359,0.048,
130,d10_SER,0.12342,0.0005287,0.048,
130,d10_SER,0.1234,0.000528803,0.048,
130,d10_SER,0.14844,0.000765084,0.048,
131,d10,1.96401,0.272954,0.048,
131,D10_inhib_160,1.06722,0.088368,0.048,
131,d10_o01,0.0889115,0.000379884,0.048,
131,d10_p01,0.647805,0.0307076,0.048,
131,d10_p01,1.70671,0.0936224,0.048,
131,d10_SER,0.14844,0.000765109,0.048,
131,d10_SER_p01,0.1234,0.000528598,0.048,
132,d10,2.06074,0.297163,0.048,
132,D10_inhib_160,1.04362,0.0812596,0.048,
132,d10_o01,0.0888939,0.00037974,0.048,
132,d10_p01,3.30666,0.22504,0.048,
