Object,Start,End,Count,Surface area,Flat area,Volume,
10align1,5,44,8,1.45068,3.01471,0.146256,
10align10,5,44,8,1.4507,3.01463,0.146252,
10align2,5,44,8,1.45068,3.01467,0.146254,
10align3,5,44,8,1.45069,3.01466,0.146253,
10align4,5,44,8,1.45071,3.01472,0.146256,
10align5,5,44,8,1.45069,3.01468,0.146254,
10align6,5,44,8,1.45068,3.01458,0.146249,
10align7,5,44,8,1.45067,3.01457,0.146249,
10align8,5,44,8,1.45069,3.01462,0.146251,
10align9,5,44,8,1.4507,3.0146,0.14625,
1align1,4,45,10,0.411795,0.541881,0.0262888,
1align10,4,35,6,0.252173,0.338686,0.016431,
1align2,4,45,10,0.411785,0.541849,0.0262873,
1align3,4,45,10,0.411788,0.541858,0.0262877,
1align4,4,45,10,0.411785,0.54185,0.0262873,
1align5,4,45,10,0.411783,0.541842,0.0262869,
1align6,4,45,10,0.411787,0.541855,0.0262876,
1align7,4,45,10,0.411785,0.541849,0.0262872,
1align8,4,45,10,0.411785,0.541848,0.0262872,
1align9,4,45,8,0.333476,0.444064,0.0215433,
2align1,3,46,12,1.37373,0.820329,0.0397974,
2align10,3,46,10,1.1542,0.694659,0.0337007,
2align11,3,14,4,0.461579,0.278508,0.0135115,
2align2,3,46,12,1.37377,0.820341,0.039798,
2align3,3,46,12,1.3737,0.820366,0.0397992,
2align4,3,46,12,1.3737,0.820381,0.0398,
2align5,3,46,12,1.37366,0.820339,0.0397979,
2align6,3,46,10,1.15422,0.694696,0.0337025,
2align7,3,46,10,1.15424,0.694662,0.0337008,
2align8,3,46,10,1.15422,0.69474,0.0337046,
2align9,3,46,10,1.15423,0.694645,0.0337,
3align1,2,47,12,0.937369,1.49537,0.0725464,
3align10,2,47,12,0.937371,1.49537,0.0725463,
3align11,22,37,4,0.306957,0.480348,0.0233036,
3align12,22,37,4,0.306957,0.480346,0.0233035,
3align13,36,37,2,0.156616,0.249557,0.012107,
3align2,2,47,12,0.93737,1.49537,0.0725462,
3align3,2,47,12,0.93738,1.4954,0.0725479,
3align4,2,47,12,0.937387,1.49542,0.0725488,
3align5,2,47,12,0.937375,1.49539,0.0725473,
3align6,2,47,12,0.93738,1.4954,0.072548,
3align7,2,47,12,0.937372,1.49538,0.0725466,
3align8,2,47,12,0.937381,1.4954,0.072548,
3align9,2,47,12,0.937354,1.49532,0.0725438,
4align1,1,48,12,1.90987,1.7767,0.0861949,
4align10,1,48,12,1.90985,1.77673,0.0861965,
4align11,1,38,6,0.964557,0.906088,0.0439579,
4align12,1,22,4,0.646129,0.611125,0.0296481,
4align2,1,48,12,1.9099,1.77673,0.0861962,
4align3,1,48,12,1.90983,1.7767,0.0861948,
4align4,1,48,12,1.90984,1.77671,0.0861952,
4align5,1,48,12,1.90985,1.77666,0.0861928,
4align6,1,48,12,1.90984,1.77668,0.0861938,
4align7,1,48,12,1.90983,1.77666,0.0861931,
4align8,1,48,12,1.90988,1.77672,0.0861957,
4align9,1,48,12,1.90986,1.7767,0.086195,
5align1,10,49,10,3.02993,2.57526,0.124936,
5align10,10,49,8,2.40907,2.03474,0.0987133,
5align2,10,49,10,3.02997,2.5752,0.124933,
5align3,10,49,10,3.02996,2.57527,0.124937,
5align4,10,49,10,3.02994,2.57515,0.124931,
5align5,10,49,10,3.02995,2.5752,0.124933,
5align6,10,49,10,3.02992,2.57532,0.124939,
5align7,10,49,10,3.02994,2.57501,0.124924,
5align8,10,49,10,3.02996,2.57517,0.124932,
5align9,10,49,10,3.02993,2.57533,0.124939,
6align1,9,50,10,0.822909,1.79858,0.0872564,
6align10,9,40,8,0.657449,1.43516,0.0696252,
6align2,9,50,10,0.822908,1.79858,0.0872562,
6align3,9,50,10,0.822911,1.79859,0.0872569,
6align4,9,50,10,0.822925,1.79865,0.0872599,
6align5,9,50,10,0.822908,1.79858,0.0872561,
6align6,9,50,10,0.8229,1.79854,0.0872546,
6align7,9,50,10,0.822911,1.79859,0.0872569,
6align8,9,50,10,0.822915,1.79861,0.0872577,
6align9,9,50,10,0.82292,1.79864,0.087259,
7align1,8,51,10,0.799515,2.03917,0.0989281,
7align10,8,51,10,0.799507,2.03913,0.0989264,
7align2,8,51,10,0.799522,2.03921,0.0989301,
7align3,8,51,10,0.799519,2.03919,0.0989293,
7align4,8,51,10,0.799512,2.03916,0.0989276,
7align5,8,51,10,0.799519,2.0392,0.0989296,
7align6,8,51,10,0.799511,2.03915,0.0989273,
7align7,8,51,10,0.799495,2.03906,0.0989231,
7align8,8,51,10,0.799538,2.03928,0.0989338,
7align9,8,51,10,0.799519,2.03919,0.0989293,
8align1,7,42,8,1.4143,2.91727,0.141529,
8align10,7,42,6,1.06957,2.22662,0.108022,
8align2,7,42,8,1.4143,2.91728,0.141529,
8align3,7,42,8,1.41431,2.91731,0.14153,
8align4,7,42,8,1.41432,2.91732,0.141531,
8align5,7,42,8,1.41432,2.91731,0.14153,
8align6,7,42,8,1.41432,2.91735,0.141532,
8align7,7,42,8,1.41431,2.91739,0.141534,
8align8,7,42,8,1.41432,2.91736,0.141533,
8align9,7,42,8,1.41432,2.91739,0.141534,
9align1,6,43,8,1.59731,4.70775,0.228392,
9align10,16,43,6,1.20767,3.58816,0.174076,
9align2,6,43,8,1.59732,4.70775,0.228392,
9align3,6,43,8,1.59732,4.70772,0.22839,
9align4,6,43,8,1.59732,4.70772,0.22839,
9align5,6,43,8,1.5973,4.7077,0.228389,
9align6,6,43,8,1.59731,4.70781,0.228395,
9align7,6,43,8,1.59731,4.70764,0.228387,
9align8,6,43,8,1.59733,4.70783,0.228396,
9align9,6,43,8,1.59732,4.70776,0.228392,
d001,1,51,51,6.68765,25.6783,1.24576,
D001,1,51,51,1.15672,0.38704,0.0187769,
d001_o01,3,5,3,0.0139271,0.00132014,6.4045e-05,
d001_o02,8,9,2,0.00986829,0.000994073,4.82265e-05,
d001_o03,15,16,2,0.00830014,0.000703303,3.412e-05,
d001_o04,20,25,6,0.0249004,0.00210991,0.00010236,
d001_o05,26,26,1,0.00481243,0.000472833,2.2939e-05,
d001_o06,27,28,2,0.00963204,0.000947139,4.59495e-05,
d001_o07,31,32,2,0.00776332,0.000615254,2.98485e-05,
d001_o08,33,34,2,0.0107824,0.00118692,5.75822e-05,
d001_o09,34,35,2,0.0107816,0.00118674,5.75735e-05,
