section,Trace,Comment,Length,Area,
1,4align1,,3.60312,0.176624,
1,4align10,,3.60251,0.176644,
1,4align11,,3.60251,0.176644,
1,4align12,,3.60251,0.176644,
1,4align2,,3.60251,0.176644,
1,4align3,,3.6026,0.176654,
1,4align4,,3.60275,0.176627,
1,4align5,,3.60275,0.176643,
1,4align6,,3.60279,0.176647,
1,4align7,,3.60264,0.176637,
1,4align8,,3.60301,0.176672,
1,4align9,,3.60261,0.176674,
1,d001,,2.8534,0.577938,
1,D001,,0.46756,0.00758551,
1,d002,,1.6735,0.123912,
1,D002,,0.3062,0.0032589,
1,d005,DDH traced 5/10/2019,2.3031,0.286193,
1,D005,,0.396848,0.0124117,
1,d005_o01_inc,,0.207264,0.0005918,
1,d005_o02_inc,,0.188691,0.000489,
1,d005_p01,DDH traced 5/10/2019,1.00929,0.0510404,
1,d005_SER_p01,,0.1796,0.001122,
1,TEM FIELD,,35.965,80.6231,
2,3align1,,1.71836,0.141765,
2,3align10,,1.7183,0.141753,
2,3align2,,1.71827,0.141751,
2,3align3,,1.71845,0.141779,
2,3align4,,1.7183,0.141753,
2,3align5,,1.7183,0.141756,
2,3align6,,1.7184,0.141771,
2,3align7,,1.7183,0.141754,
2,3align8,,1.7184,0.141771,
2,3align9,,1.71812,0.141725,
2,4align1,,3.43313,0.162377,
2,4align10,,3.43304,0.16235,
2,4align11,,3.43304,0.16235,
2,4align12,,3.43304,0.16235,
2,4align2,,3.43354,0.162354,
2,4align3,,3.43314,0.162358,
2,4align4,,3.4333,0.16234,
2,4align5,,3.43325,0.162351,
2,4align6,,3.43321,0.162346,
2,4align7,,3.43321,0.162343,
2,4align8,,3.43328,0.162371,
2,4align9,,3.43304,0.16235,
2,d001,,2.83855,0.571866,
2,D001,,0.46734,0.00758824,
2,d002,,1.30339,0.0789758,
2,D002,,0.3064,0.00325635,
2,d005,DDH traced 5/10/2019,2.41574,0.264467,
2,D005,,0.396848,0.0124117,
2,d005_o01_inc,,0.207264,0.0005918,
2,d005_o02_inc,,0.188691,0.000489,
2,d005_p01,DDH traced 5/10/2019,0.826022,0.0336583,
2,d005_SER_p01,,0.1796,0.00111601,
2,d005_SER_p02,,0.1714,0.00102102,
2,mito02,,0.238559,0,
2,TEM FIELD,,35.965,80.6231,
3,2align1,,2.4991,0.0766646,
3,2align10,,2.49901,0.0766646,
3,2align11,,2.49861,0.0766879,
3,2align2,,2.4992,0.0766608,
3,2align3,,2.49868,0.0766832,
3,2align4,,2.49883,0.0766814,
3,2align5,,2.4989,0.0766809,
3,2align6,,2.4987,0.0766842,
3,2align7,,2.49888,0.0766786,
3,2align8,,2.4988,0.0766832,
3,2align9,,2.49891,0.0766786,
3,3align1,,1.69067,0.137356,
3,3align10,,1.69058,0.137343,
3,3align2,,1.69073,0.137368,
3,3align3,,1.69076,0.13737,
3,3align4,,1.69073,0.137368,
3,3align5,,1.69068,0.13736,
3,3align6,,1.69068,0.13736,
3,3align7,,1.69077,0.137374,
3,3align8,,1.69068,0.13736,
3,3align9,,1.69073,0.137368,
3,d001,,2.80063,0.567111,
3,D001,,0.46734,0.00758902,
3,d001_o01,,0.0956913,0.000440045,
3,d002,,1.52517,0.110859,
3,D002,,0.3064,0.00326146,
3,d005,DDH traced 5/10/2019,2.57371,0.28862,
3,D005,,0.396848,0.0124117,
3,d005_o01_inc,,0.207264,0.0005918,
3,d005_o02_inc,,0.18878,0.000490505,
3,d005_p01,DDH traced 5/10/2019,0.65793,0.0151511,
3,d005_SER_p01,,0.1796,0.001122,
3,Kristen Test,,2.43338,0.464763,
3,mito01,,0.203412,0,
3,mito02,,0.238559,0,
3,TEM FIELD,,35.965,80.6231,
4,1align1,,0.898286,0.0605694,
4,1align10,,0.898289,0.0605675,
4,1align2,,0.898286,0.0605694,
4,1align3,,0.898291,0.0605694,
4,1align4,,0.898292,0.0605704,
4,1align5,,0.898283,0.060569,
4,1align6,,0.898278,0.0605685,
4,1align7,,0.898433,0.0605865,
4,1align8,,0.898349,0.060577,
4,1align9,,0.898289,0.0605675,
4,2align1,,2.47017,0.0749299,
4,2align10,,2.47047,0.0749117,
4,2align11,,2.47007,0.0749436,
4,2align2,,2.46997,0.074935,
4,2align3,,2.47045,0.0749126,
4,2align4,,2.47012,0.0749309,
4,2align5,,2.47011,0.0749299,
4,2align6,,2.47005,0.0749354,
4,2align7,,2.47045,0.0749125,
4,2align8,,2.47026,0.0749391,
4,2align9,,2.47007,0.0749345,
4,d001,,2.75146,0.547367,
4,D001,,0.46734,0.00758902,
4,d001_o01,,0.0956913,0.000440045,
4,d002,,1.35568,0.101681,
4,D002,,0.3062,0.0032538,
4,d005,DDH traced 5/10/2019,2.51066,0.264372,
4,D005,,0.396848,0.0124117,
4,d005_o01_inc,,0.207264,0.0005918,
4,d005_o02_inc,,0.18878,0.000490505,
4,d005_p01,DDH traced 5/10/2019,0.463679,0.00816175,
4,domain1,,12.9473,12.1124,
4,mito01,,0.203412,0,
4,mito02,,0.238559,0,
4,TEM FIELD,,35.965,80.6231,
5,10align1,,3.68371,0.364762,
5,10align10,,3.68368,0.364764,
5,10align2,,3.68371,0.364744,
5,10align3,,3.68375,0.364752,
5,10align4,,3.68367,0.364744,
5,10align5,,3.68368,0.364756,
5,10align6,,3.68337,0.364735,
5,10align7,,3.6838,0.364797,
5,10align8,,3.68377,0.364746,
5,10align9,,3.68362,0.36473,
5,1align1,,0.881061,0.0582686,
5,1align10,,0.881188,0.0582859,
5,1align2,,0.881103,0.058275,
5,1align3,,0.881143,0.05828,
5,1align4,,0.881115,0.0582773,
5,1align5,,0.881236,0.058292,
5,1align6,,0.881096,0.0582741,
5,1align7,,0.881217,0.0582905,
5,1align8,,0.881329,0.0583042,
5,1align9,,0.881188,0.0582859,
5,d001,,2.71624,0.533386,
5,D001,,0.46754,0.00759291,
5,d001_o01,,0.0956913,0.000440045,
5,d002,,1.42346,0.114957,
5,D002,,0.3062,0.0032538,
5,d005,DDH traced 5/10/2019,2.50617,0.253739,
5,D005,,0.396848,0.0124117,
5,d005_o01_inc,,0.207264,0.0005918,
5,d005_o02_inc,,0.18878,0.000490505,
5,d005_p01,DDH traced 5/10/2019,0.266461,0.00347832,
5,mito01,,0.203412,0,
5,mito02,,0.238559,0,
5,TEM FIELD,,35.965,80.6231,
6,10align1,,3.59551,0.347778,
