section,Trace,Comment,Length,Area,Thickness,
1,d01,,1.88514,0.197871,0.06,
1,d01_sp35_INC,,2.14594,0.235142,0.06,
1,d01_sp35_INC,,0.836282,0.0404337,0.06,
1,d01p35,,0.108568,0.000566428,0.06,
1,d01p35_INC,,0.220429,0.000669271,0.06,
2,d01,,1.73137,0.191619,0.06,
2,d01_sp01,,0.376512,0.00848749,0.06,
2,d01_sp35_INC,,2.42999,0.22028,0.06,
2,d01_sp35_INC,,0.934761,0.0446177,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480661,0.000111021,0.06,
2,d01ax01ssvr,,0.0480661,0.000111021,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480661,0.000111021,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480661,0.000111021,0.06,
2,d01ax01ssvr,,0.0480661,0.000111021,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480661,0.000111021,0.06,
2,d01ax01ssvr,,0.0480661,0.000111021,0.06,
2,d01ax01ssvr,,0.0480661,0.000111021,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01ax01ssvr,,0.0480485,0.000110943,0.06,
2,d01p35,,0.108568,0.000566428,0.06,
2,d01p35_INC,,0.22046,0.000669476,0.06,
3,d01,,1.68688,0.189526,0.06,
3,d01_sp01,,0.622232,0.0182912,0.06,
3,d01_sp35_INC,,3.24438,0.302194,0.06,
3,d01ax01ssvr,,0.0480485,0.000110943,0.06,
3,d01ax01ssvr,,0.0480485,0.000110943,0.06,
3,d01ax01ssvr,,0.0480485,0.000110943,0.06,
3,d01ax01ssvr,,0.0480485,0.000110943,0.06,
3,d01ax01ssvr,,0.0480661,0.000111021,0.06,
