Object,Start,End,Count,Surface area,Flat area,Volume,
d07,1,185,186,23.0059,49.3339,2.95889,
d07__cluster1begin,18,18,1,0.0554212,0.0598706,0.00359224,
d07__cluster1end,118,118,1,0.0611373,0.0609324,0.00365594,
d07__teamsymmquestionr14,57,58,2,0.0413612,0.0185721,0.00111433,
d07_c01_sym,158,165,8,0.317897,0.13677,0.00820621,
d07_c02_asym,168,171,4,0.124374,0.065235,0.0039141,
d07_c03_asym,154,158,5,0.181742,0.0988768,0.00593261,
d07_c04_asym,5,6,2,0.0659169,0.0312854,0.00187712,
d07_c05a_asym,14,16,3,0.0846125,0.0341811,0.00205087,
d07_c05b_asym,23,24,2,0.0688734,0.0463494,0.00278097,
d07_c07_asym,25,27,3,0.0927599,0.0418241,0.00250944,
d07_c08a_asym,24,26,3,0.0865072,0.0388088,0.00232853,
d07_c08b_asym,34,37,4,0.114375,0.0561765,0.00337059,
d07_c09_asym,21,23,3,0.0765527,0.0375191,0.00225115,
d07_c10_asym,52,55,4,0.0959755,0.0368683,0.0022121,
d07_c11a_asym,34,37,4,0.0832847,0.0346951,0.00208171,
d07_c11b_asym,46,47,2,0.0504335,0.0205117,0.0012307,
d07_c12_asym,35,42,10,0.316554,0.115214,0.00691286,
d07_c13a_asym,59,60,2,0.0813166,0.0598872,0.00359323,
d07_c13b_asym,62,64,3,0.0800412,0.0411565,0.00246939,
d07_c14_asym,57,59,3,0.0862588,0.0383,0.002298,
d07_c15_asym,79,85,10,0.417515,0.281474,0.0168884,
d07_c16a_asym,81,84,4,0.176847,0.0878471,0.00527083,
d07_c16b_asym,78,79,2,0.0613691,0.0331206,0.00198724,
d07_c17_asym,75,77,3,0.0956097,0.0513267,0.0030796,
d07_c18_asym,81,83,3,0.0951504,0.0607649,0.0036459,
d07_c19_asym,84,87,4,0.10566,0.0468851,0.0028131,
d07_c20_asym,89,90,2,0.109655,0.122798,0.00736785,
d07_c21_asym,99,101,3,0.105789,0.0733236,0.00439942,
d07_c22_asym,97,101,5,0.161631,0.0749787,0.00449872,
d07_c23_asym,96,100,5,0.163284,0.0630932,0.00378559,
d07_c24a_asym,110,114,5,0.167371,0.0825642,0.00495385,
d07_c24b_asym,107,109,3,0.0868381,0.0403772,0.00242263,
d07_c25a_asym,103,104,2,0.0488333,0.0247535,0.00148521,
d07_c25b_asym,113,115,3,0.139211,0.102704,0.00616226,
d07_c26_asym,118,119,2,0.0756088,0.0355704,0.00213422,
d07_c28a_asym,120,130,22,0.880034,0.438841,0.0263305,
d07_c28b_asym,130,132,3,0.113299,0.0612137,0.00367282,
d07_c29_asym,132,134,3,0.0941728,0.0496498,0.00297899,
d07_c36_asym,23,26,5,0.186075,0.134924,0.00809546,
d07_c37_asym,18,19,2,0.0635155,0.0369357,0.00221614,
d07_c38_asym,39,42,4,0.135923,0.055774,0.00334644,
d07_c39_sym,47,54,8,0.216782,0.0737879,0.00442727,
d07_cfa01_sym,158,165,8,0.120394,0.120394,0,
d07_cfa02_asym,168,171,4,0.0464962,0.0464962,0,
d07_cfa03_asym,154,158,5,0.0723219,0.0723219,0,
d07_cfa04_asym,5,6,2,0.0266051,0.0266051,0,
d07_cfa05a_asym,14,16,3,0.0341831,0.0341831,0,
d07_cfa05b_asym,23,23,1,0.0281312,0.014105,0.000846302,
d07_cfa07_asym,25,27,3,0.0390527,0.0390527,0,
d07_cfa08_asym,34,37,4,0.0435012,0.0435012,0,
d07_cfa08b_asym,24,26,3,0.0318188,0.0318188,0,
d07_cfa09_asym,21,23,3,0.0249081,0.0249081,0,
d07_cfa10_asym,52,55,4,0.0366513,0.0366513,0,
d07_cfa11a_asym,34,37,4,0.0270235,0.0270235,0,
d07_cfa11b_asym,46,47,2,0.0191511,0.0191511,0,
d07_cfa12_asym,35,42,10,0.14029,0.14029,0,
d07_cfa13a_asym,59,59,1,0.0368482,0.0233968,0.00140381,
d07_cfa13b_asym,62,64,3,0.0267867,0.0267867,0,
d07_cfa14_asym,57,59,3,0.0314987,0.0314987,0,
d07_cfa15_asym,79,85,10,0.182781,0.164975,0.00146912,
d07_cfa16a_asym,81,84,4,0.0744913,0.0744913,0,
d07_cfa16b_asym,78,79,2,0.022993,0.022993,0,
d07_cfa17_asym,76,77,3,0.0440708,0.0305124,0.000404499,
