sec,x,y
1.0,4.50417,4.50761
2.0,4.49495,4.51716
3.0,4.48318,4.52746
4.0,4.47004,4.53977
5.0,4.46079,4.55257
6.0,4.45003,4.56545
7.0,4.44139,4.57539
8.0,4.43183,4.58385
9.0,4.42391,4.58836
10.0,4.41708,4.58752
11.0,4.41065,4.58623
12.0,4.40956,4.5844
13.0,4.40955,4.58033
14.0,4.41118,4.57526
15.0,4.40802,4.5665
16.0,4.40803,4.5581
17.0,4.41014,4.55442
18.0,4.41511,4.55534
19.0,4.42211,4.55645
20.0,4.43151,4.55534
21.0,4.43888,4.55332
22.0,4.44791,4.5547
23.0,4.4656,4.55712
24.0,4.48458,4.55485
25.0,4.50413,4.5556
26.0,4.52319,4.55592
27.0,4.54198,4.5572
28.0,4.55819,4.55481
29.0,4.57498,4.55483
30.0,4.59253,4.556
31.0,4.61156,4.55719
32.0,4.62857,4.5555
33.0,4.63998,4.55353
34.0,4.65204,4.55851
35.0,4.66805,4.56633
36.0,4.68246,4.57528
37.0,4.69322,4.58351
38.0,4.70886,4.59588
39.0,4.72736,4.61706
40.0,4.74481,4.63948
41.0,4.76095,4.66466
42.0,4.7826,4.69429
43.0,4.79886,4.72463
44.0,4.81145,4.75411
45.0,4.81625,4.78433
46.0,4.82121,4.81378
47.0,4.82339,4.84471
48.0,4.82047,4.87307
49.0,4.81487,4.89129
50.0,4.8073,4.91595
51.0,4.79919,4.93956
52.0,4.78618,4.96711
53.0,4.7697,5.00075
54.0,4.75515,5.03616
55.0,4.74114,5.06902
56.0,4.73193,5.10265
57.0,4.72391,5.13378
58.0,4.70909,5.16398
59.0,4.69975,5.19468
60.0,4.68579,5.22298
61.0,4.6719,5.24922
62.0,4.65399,5.26892
63.0,4.63799,5.28562
64.0,4.62009,5.30144
65.0,4.60321,5.31948
66.0,4.58074,5.33771
67.0,4.55874,5.35955
68.0,4.54181,5.38552
69.0,4.51694,5.41328
70.0,4.496,5.4353
71.0,4.46104,5.46009
72.0,4.43113,5.48137
73.0,4.40552,5.50072
74.0,4.37716,5.51577
75.0,4.34806,5.52958
76.0,4.31501,5.53926
77.0,4.27813,5.54373
78.0,4.24392,5.54309
79.0,4.21526,5.54293
80.0,4.18478,5.54514
81.0,4.17198,5.54575
82.0,4.156,5.54751
83.0,4.13854,5.54679
84.0,4.1273,5.55124
85.0,4.12062,5.55357
86.0,4.118,5.56013
87.0,4.12246,5.56718
88.0,4.12662,5.57769
89.0,4.12441,5.58835
90.0,4.12228,5.59776
91.0,4.11682,5.60623
92.0,4.11327,5.61561
93.0,4.11215,5.62511
94.0,4.10815,5.62906
95.0,4.10222,5.63434
96.0,4.09359,5.6402
97.0,4.08062,5.64459
98.0,4.06608,5.64662
99.0,4.05244,5.64696
100.0,4.04829,5.64643
101.0,4.04448,5.64667
102.0,4.03697,5.64672
103.0,4.02974,5.6479
104.0,4.02709,5.65068
105.0,4.02385,5.65296
106.0,4.02383,5.65194
107.0,4.02524,5.65151
108.0,4.0319,5.64883
109.0,4.03911,5.64514
110.0,4.03792,5.64258
111.0,4.0379,5.63917
112.0,4.04387,5.63736
113.0,4.05031,5.63819
114.0,4.0546,5.63758
115.0,4.0599,5.63897
116.0,4.06811,5.64503
117.0,4.07795,5.65252
118.0,4.08239,5.66366
119.0,4.08857,5.67537
120.0,4.09583,5.68696
121.0,4.10508,5.70058
122.0,4.11493,5.71324
123.0,4.12495,5.7206
124.0,4.13402,5.72835
125.0,4.14693,5.73451
126.0,4.15685,5.73829
127.0,4.17186,5.7376
128.0,4.17752,5.73961
129.0,4.18214,5.74314
130.0,4.19009,5.74495
131.0,4.194,5.74327
132.0,4.19553,5.73774
133.0,4.19935,5.73304
134.0,4.202,5.73222
135.0,4.20385,5.72587
136.0,4.20337,5.71889
137.0,4.19206,5.71613
138.0,4.19138,5.70713
139.0,4.1914,5.70268
140.0,4.18307,5.69655
141.0,4.17264,5.69031
142.0,4.16111,5.68962
143.0,4.15002,5.68914
144.0,4.13868,5.68102
145.0,4.12255,5.67828
146.0,4.10866,5.6707
147.0,4.09807,5.66291
148.0,4.08422,5.65665
149.0,4.06861,5.64503
150.0,4.05307,5.63599
151.0,4.04111,5.62878
152.0,4.0307,5.61946
153.0,4.01832,5.61336
154.0,3.99472,5.61661
155.0,3.97183,5.62265
156.0,3.94732,5.63444
157.0,3.92464,5.64506
158.0,3.90524,5.65529
159.0,3.89017,5.66695
160.0,3.88275,5.68918
161.0,3.87925,5.70879
162.0,3.87623,5.73035
163.0,3.87332,5.75039
164.0,3.88033,5.76996
165.0,3.88701,5.78599
166.0,3.89415,5.80228
167.0,3.89705,5.82145
168.0,3.89796,5.84266
169.0,3.89218,5.86202
170.0,3.89015,5.87116
171.0,3.88627,5.88218
172.0,3.8803,5.89022
173.0,3.87895,5.89936
174.0,3.87553,5.91337
175.0,3.87353,5.9292
176.0,3.87202,5.9416
177.0,3.8714,5.9537
178.0,3.87264,5.97093
179.0,3.8736,5.98444
180.0,3.86543,5.99608
181.0,3.85237,6.00776
182.0,3.83962,6.02099
183.0,3.82057,6.03314
184.0,3.80562,6.03612
185.0,3.79099,6.03725
