Object,Start,End,Count,Surface area,Flat area,Volume,
d01,1,210,208,39.2359,115.172,7.14066,
d01__cluster1begin,73,73,1,0.10664,0.195598,0.0121271,
d01__cluster1end,189,189,1,0.0901251,0.136803,0.00848177,
d01__teamsymmquestionrb13,97,97,1,0.0430182,0.037992,0.0023555,
d01_aspiny1,30,37,8,1.24186,3.22788,0.200128,
d01_aspiny2,46,54,18,3.26965,10.3467,0.641497,
d01_cl00_asyn,73,77,5,0.970885,2.86387,0.17756,
d01_cl01_syn,78,89,12,2.74362,6.54245,0.405632,
d01_cl02_asyn,90,93,4,0.777905,2.22777,0.138122,
d01_cl03_syn,94,121,28,6.68475,18.8756,1.17029,
d01_cl04_asyn,122,126,5,0.910366,2.10934,0.130779,
d01_cl05_syn_symm,127,153,26,5.7835,13.7216,0.850736,
d01_cl06_asyn,154,155,2,0.387128,1.15541,0.0716356,
d01_cl07_syn_symm,156,169,14,4.15646,12.5585,0.778624,
d01_cl08_asyn,170,171,2,0.401266,1.27345,0.0789541,
d01_cl09_syn,172,173,2,0.427237,1.243,0.0770658,
d01_cl10_asyn,174,175,2,0.404938,1.23259,0.0764208,
d01_cl11_syn,176,187,11,2.85252,7.12344,0.441653,
d01_cl12_asyn,188,189,2,0.423857,1.17208,0.0726693,
d01_cl13_syn_INC,190,190,1,0.21164,0.627896,0.0389295,
d01_INC,3,210,11,0.29648,0.0471394,0.00292264,
d01_missedspinephp2019,172,172,1,0.0570879,0.0582824,0.00361351,
d01_scale_sect90,90,90,1,0.0691647,0.0253661,0.0015727,
d01_scaleBAR_sect90,90,90,1,0.031328,0.031328,0,
d01_scalecube,170,170,1,0.0350064,0.011069,0.000686277,
d01_sp01,1,16,17,2.16397,4.01008,0.248625,
d01_sp02,11,16,6,0.287297,0.209214,0.0129713,
d01_sp03,1,29,29,2.97622,5.39999,0.334799,
d01_sp04,37,42,7,0.385158,0.317599,0.0196911,
d01_sp05,24,45,23,1.16401,0.933226,0.05786,
d01_sp06,45,57,14,0.739662,0.671014,0.0416029,
d01_sp07,54,62,9,0.477532,0.412458,0.0255724,
d01_sp08,55,63,9,0.417958,0.32377,0.0200737,
d01_sp09,55,71,21,2.48669,3.92007,0.243045,
d01_sp10,74,83,16,0.895284,0.589378,0.0365414,
d01_sp11,74,85,13,0.519486,0.331365,0.0205446,
d01_sp12,85,92,8,0.802457,0.873592,0.0541627,
d01_sp13,97,97,1,0.0512789,0.0453171,0.00280966,
d01_sp13_branched,76,105,31,1.67204,1.30132,0.0806817,
d01_sp14,96,107,14,1.36807,1.50766,0.0934748,
d01_sp15,99,105,7,0.447828,0.455275,0.0282271,
d01_sp16,108,113,6,0.232327,0.158103,0.00980237,
d01_sp17,110,119,11,0.567105,0.372913,0.0231206,
d01_sp18,109,113,5,0.314326,0.219039,0.0135804,
d01_sp19,117,135,19,0.966341,0.88599,0.0549314,
d01_sp20,115,121,7,0.606095,0.590438,0.0366072,
d01_sp21,110,120,12,0.48394,0.36431,0.0225872,
d01_sp22,124,130,8,0.299285,0.137412,0.00851954,
d01_sp23,127,132,6,0.280104,0.168603,0.0104534,
d01_sp24,128,130,5,0.204456,0.139676,0.00865989,
d01_sp25,115,135,21,1.87163,2.50414,0.155257,
d01_sp26,136,140,5,0.363562,0.321974,0.0199624,
d01_sp27,139,147,11,0.728536,0.501639,0.0311016,
d01_sp28,143,154,12,0.609689,0.438657,0.0271967,
d01_sp29,142,149,9,0.401313,0.306436,0.018999,
d01_sp30,149,155,9,0.346907,0.162283,0.0100615,
d01_sp31,156,162,8,0.355579,0.233508,0.0144775,
d01_sp33_branched,143,170,29,1.22232,0.788965,0.0489158,
d01_sp34,154,163,11,0.453804,0.301015,0.0186629,
d01_sp35,156,173,19,2.19283,3.46943,0.215105,
