section,Trace,Comment,Length,Area,Thickness,
1,d01,,2.97061,0.597315,0.062,
1,d01_sp01,,0.920075,0.0421131,0.062,
1,d01_sp03,,0.430606,0.00866839,0.062,
1,d01_sp54_INC,,0.855916,0.0395516,0.062,
2,d01,,2.89974,0.546523,0.062,
2,d01_sp01,,1.39181,0.0782753,0.062,
2,d01_sp03,,0.650572,0.0221855,0.062,
2,d01_sp54_INC,,0.908612,0.0296647,0.062,
2,d01c01,,0.753584,0.024814,0.062,
2,d01cfa01,,0.34153,0,0.062,
3,d01,,2.90829,0.547163,0.062,
3,d01_INC,,0.328914,0.00148982,0.062,
3,d01_sp01,,1.73378,0.14115,0.062,
3,d01_sp03,,0.950398,0.0474244,0.062,
3,d01_sp54_INC,,0.767392,0.0319294,0.062,
3,d01c01,,1.2054,0.0390334,0.062,
3,d01c03,,0.617625,0.0191636,0.062,
3,d01cfa01,,0.537158,0,0.062,
3,d01cfa03,,0.251798,0,0.062,
3,d01p54,,0.0990147,0.000471122,0.062,
3,d01p54_INC,,0.201036,0.000556722,0.062,
4,d01,,2.84042,0.520979,0.062,
4,d01_INC,,0.328892,0.00148978,0.062,
4,d01_sp01,,1.9014,0.1957,0.062,
4,d01_sp03,,1.28057,0.0845587,0.062,
4,d01_sp54_INC,,0.651615,0.0238205,0.062,
4,d01c01,,1.33897,0.0543976,0.062,
4,d01c03,,1.02703,0.0374857,0.062,
4,d01cfa01,,0.643479,0,0.062,
4,d01cfa03,,0.465114,0,0.062,
4,d01p54,,0.0989971,0.000470961,0.062,
4,d01p54_INC,,0.201036,0.000556722,0.062,
5,d01,,2.80043,0.506305,0.062,
5,d01_INC,,0.721639,0.00717227,0.062,
5,d01_INC,,0.328898,0.00149,0.062,
5,d01_sp01,,2.20747,0.228162,0.062,
5,d01_sp03,,1.56903,0.136562,0.062,
5,d01_sp54_INC,,0.512101,0.0141587,0.062,
5,d01c01,,1.3212,0.0508358,0.062,
5,d01c03,,1.29192,0.065781,0.062,
5,d01cfa01,,0.615679,0,0.062,
5,d01cfa03,,0.558222,0,0.062,
5,d01p54,,0.0990147,0.000471122,0.062,
5,d01p54_INC,,0.201052,0.000556962,0.062,
6,d01,,2.82137,0.521862,0.062,
6,d01_sp01,,2.20761,0.267129,0.062,
6,d01_sp03,,1.88773,0.204472,0.062,
6,d01c01,,1.33667,0.0502327,0.062,
6,d01c03,,1.54,0.0812138,0.062,
6,d01cfa01,,0.6459,0,0.062,
6,d01cfa03,,0.694577,0,0.062,
7,d01,,2.73804,0.502992,0.062,
7,d01_sp01,,2.24942,0.280263,0.062,
7,d01_sp03,,2.09938,0.244917,0.062,
7,d01c01,,1.32427,0.0497429,0.062,
7,d01c03,,1.61343,0.0701989,0.062,
7,d01cfa01,,0.624573,0,0.062,
7,d01cfa03,,0.74429,0,0.062,
8,d01,,2.73901,0.496807,0.062,
8,d01_sp01,,2.24001,0.299359,0.062,
8,d01_sp03,,2.33341,0.305716,0.062,
8,d01c01,,1.34486,0.0537481,0.062,
8,d01c03,,1.69358,0.0698436,0.062,
8,d01cfa01,,0.626548,0,0.062,
8,d01cfa03,,0.789578,0,0.062,
8,d01SER,,0.134702,0.00123752,0.062,
8,d01SERp01,,0.134702,0.00123752,0.062,
9,d01,,2.82729,0.506563,0.062,
9,d01_sp01,,2.33331,0.310927,0.062,
9,d01_sp03,,2.43019,0.339811,0.062,
9,d01c01,,1.37108,0.0522338,0.062,
9,d01c03,,1.66255,0.0802996,0.062,
9,d01cfa01,,0.643822,0,0.062,
9,d01cfa03,,0.779942,0,0.062,
9,d01p01,,0.0600032,0.000270259,0.062,
9,d01p01dia,,0.876997,0,0.062,
9,d01plinn01,,0.125681,0.000987235,0.062,
9,d01rb01,,0.0732472,0.000402726,0.062,
9,d01rb01,,0.073239,0.00040265,0.062,
9,d01rb01,,0.0732414,0.00040265,0.062,
9,d01rb01,,0.0732472,0.000402726,0.062,
9,d01rb01,,0.0732555,0.000402801,0.062,
9,d01rb01,,0.0732555,0.000402801,0.062,
9,d01rb01,,0.0732472,0.000402726,0.062,
9,d01rh01,,0.0726537,0.000396229,0.062,
9,d01SER,,0.267242,0.00487613,0.062,
9,d01SER,,0.257271,0.00439029,0.062,
9,d01SER,,0.0993896,0.00069861,0.062,
9,d01SER,,0.222429,0.00307171,0.062,
9,d01SER,,0.190312,0.00263693,0.062,
9,d01SER,,0.561876,0.0196264,0.062,
9,d01SERp01,,0.267242,0.00487613,0.062,
9,d01SERp01,,0.257271,0.00439029,0.062,
10,d01,,2.83323,0.521414,0.062,
10,d01_sp01,,3.04653,0.392362,0.062,
10,d01_sp03,,2.52503,0.361602,0.062,
10,d01c01,,0.666093,0.0241276,0.062,
10,d01c01,,0.82491,0.0335655,0.062,
10,d01c03,,1.46523,0.0663888,0.062,
10,d01cfa01,,0.281067,0,0.062,
10,d01cfa01,,0.359502,0,0.062,
10,d01cfa03,,0.636653,0,0.062,
10,d01p01,,0.129853,0.00105386,0.062,
10,d01p02,,0.168157,0.000347356,0.062,
10,d01plinn02,,0.125667,0.000987012,0.062,
10,d01rh01,,0.0726761,0.000396455,0.062,
10,d01rh01,,0.0726478,0.000396154,0.062,
10,d01rh01,,0.0726595,0.000396304,0.062,
10,d01rh01,,0.0726537,0.000396229,0.062,
10,d01rh01,,0.0726537,0.000396229,0.062,
10,d01SER,,0.302449,0.00469854,0.062,
10,d01SER,,0.47747,0.0107981,0.062,
10,d01SER,,0.364021,0.00957903,0.062,
10,d01SER,,0.162875,0.00173762,0.062,
10,d01SER,,0.396981,0.00940113,0.062,
10,d01SER,,0.365831,0.006496,0.062,
10,d01SER,,0.167449,0.00206595,0.062,
10,d01SER,,0.207451,0.00288228,0.062,
10,d01SER,,0.125633,0.00112191,0.062,
10,d01SERp01,,0.302449,0.00469854,0.062,
10,d01SERp01,,0.47747,0.0107981,0.062,
10,d01SERp01,,0.364021,0.00957903,0.062,
11,d01,,2.74746,0.486836,0.062,
11,d01_sp01,,3.17998,0.41831,0.062,
11,d01_sp02,,0.73249,0.0274466,0.062,
11,d01_sp03,,2.68991,0.398406,0.062,
11,d01c01,,1.04306,0.0353079,0.062,
11,d01c02,,0.291905,0.00538274,0.062,
11,d01c03,,1.09879,0.0413222,0.062,
11,d01cfa01,,0.485368,0,0.062,
11,d01cfa02,,0.111323,0,0.062,
11,d01cfa03,,0.519939,0,0.062,
11,d01p01,,0.129853,0.00105386,0.062,
11,d01p02,,0.129853,0.00105386,0.062,
11,d01rh01,,0.0726678,0.000396379,0.062,
11,d01rh01,,0.0726595,0.000396304,0.062,
11,d01rh01,,0.072662,0.000396304,0.062,
11,d01rh01,,0.0726595,0.000396304,0.062,
11,d01rh01,,0.0726678,0.000396379,0.062,
11,d01SER,,1.18682,0.034108,0.062,
11,d01SER,,1.0794,0.0530556,0.062,
11,d01SER,,0.134105,0.00121901,0.062,
11,d01SER,,0.418331,0.0120958,0.062,
11,d01SER,,0.124081,0.00101076,0.062,
11,d01SER,,0.38848,0.00604474,0.062,
11,d01SERp01,,1.18682,0.034108,0.062,
11,d01SERp01,,1.0794,0.0530556,0.062,
12,d01,,2.78919,0.487595,0.062,
12,d01_sp01,,3.13407,0.444093,0.062,
12,d01_sp02,,1.02497,0.0447045,0.062,
12,d01_sp03,,2.64073,0.44261,0.062,
12,d01c01,,0.591872,0.0183702,0.062,
12,d01c02,,0.521777,0.0138443,0.062,
12,d01c03,,0.72868,0.0241154,0.062,
12,d01cfa01,,0.241552,0,0.062,
12,d01cfa02,,0.216789,0,0.062,
12,d01cfa03,,0.314643,0,0.062,
12,d01p01,,0.129853,0.00105386,0.062,
12,d01p02,,0.129853,0.00105386,0.062,
12,d01p03dia,,1.00595,0,0.062,
12,d01SER,,0.230044,0.00402749,0.062,
12,d01SER,,0.268211,0.00413629,0.062,
12,d01SER,,0.795516,0.0352388,0.062,
12,d01SER,,0.835358,0.0370015,0.062,
12,d01SER,,0.149087,0.00145266,0.062,
12,d01SER,,0.642918,0.0153856,0.062,
12,d01SER,,0.112008,0.000883607,0.062,
12,d01SER,,0.233354,0.00392116,0.062,
12,d01SERp01,,0.835358,0.0370015,0.062,
12,d01SERp01,,0.795516,0.0352388,0.062,
12,d01SERp03,,0.268211,0.00413629,0.062,
12,d01SERp03,,0.230044,0.00402749,0.062,
13,d01,,2.73603,0.47428,0.062,
13,d01_sp01,,3.09972,0.3976,0.062,
13,d01_sp02,,0.807125,0.0394753,0.062,
13,d01_sp03,,2.59987,0.418809,0.062,
13,d01c02,,0.665337,0.0201157,0.062,
13,d01cfa02,,0.286353,0,0.062,
13,d01p01,,0.129839,0.00105363,0.062,
13,d01p02dia,,0.327159,0,0.062,
13,d01SER,,0.256291,0.00434921,0.062,
13,d01SER,,0.295248,0.00649773,0.062,
13,d01SER,,0.218119,0.00356953,0.062,
13,d01SER,,0.717963,0.0260337,0.062,
13,d01SER,,0.411892,0.00849196,0.062,
13,d01SER,,0.344641,0.00602325,0.062,
13,d01SERp01,,0.717963,0.0260337,0.062,
13,d01SERp01,,0.218119,0.00356953,0.062,
13,d01SERp03,,0.295248,0.00649773,0.062,
13,d01SERp03,,0.256291,0.00434921,0.062,
14,d01,,2.56877,0.422624,0.062,
14,d01_sp01,,0.567911,0.0185832,0.062,
14,d01_sp01,,2.18637,0.262597,0.062,
14,d01_sp02,,0.759259,0.0375212,0.062,
14,d01_sp03,,2.56154,0.388643,0.062,
14,d01c02,,0.639412,0.016042,0.062,
14,d01cfa02,,0.280364,0,0.062,
14,d01p01,,0.129853,0.00105386,0.062,
14,d01SER,,0.151878,0.00172806,0.062,
14,d01SER,,0.231121,0.00397659,0.062,
14,d01SER,,0.58035,0.0188627,0.062,
14,d01SER,,0.278771,0.0049897,0.062,
14,d01SER,,0.798253,0.017079,0.062,
14,d01SER,,0.171278,0.00188981,0.062,
14,d01SER,,0.268107,0.00499907,0.062,
14,d01SERp01,,0.798253,0.017079,0.062,
14,d01SERp03,,0.151878,0.00172806,0.062,
14,d01SERp03,,0.231121,0.00397659,0.062,
14,d01SERp03,,0.58035,0.0188627,0.062,
14,d01SERp03,,0.278771,0.0049897,0.062,
15,d01,,2.56198,0.419437,0.062,
15,d01_sp01,,1.43006,0.149275,0.062,
15,d01_sp02,,0.719051,0.0344921,0.062,
15,d01_sp03,,2.41522,0.275171,0.062,
15,d01c02,,0.579011,0.0173563,0.062,
15,d01cfa02,,0.253778,0,0.062,
15,d01SER,,1.01195,0.022735,0.062,
15,d01SER,,0.155696,0.00169792,0.062,
15,d01SER,,0.26247,0.00315987,0.062,
15,d01SERp03,,1.01195,0.022735,0.062,
16,d01,,2.49483,0.400582,0.062,
16,d01_sp01,,1.07317,0.0841841,0.062,
16,d01_sp02,,0.590929,0.0255741,0.062,
16,d01_sp03,,1.85477,0.19586,0.062,
16,d01c02,,0.371907,0.00846474,0.062,
16,d01cfa02,,0.148491,0,0.062,
16,d01SER,,1.01773,0.0423588,0.062,
16,d01SER,,0.130523,0.00127465,0.062,
16,d01SER,,0.203383,0.00295423,0.062,
16,d01SERp03,,1.01773,0.0423588,0.062,
17,d01,,2.42502,0.389604,0.062,
17,d01_sp03,,1.78787,0.198174,0.062,
17,d01_spinyNOSER smooth5,24feb2017KH,0.278206,0.00512983,0.062,
17,d01SER,,1.34535,0.054267,0.062,
17,d01SER,,0.101308,0.000760982,0.062,
17,d01SER,,0.194985,0.00276678,0.062,
17,d01SERp03,,1.34535,0.054267,0.062,
18,d01,,2.35332,0.378352,0.062,
18,d01_sp03,,1.74793,0.203246,0.062,
18,d01_spinyNOSER smooth5,24feb2017KH,0.417259,0.0116042,0.062,
18,d01SER,,1.14891,0.041966,0.062,
18,d01SER,,0.173266,0.00216513,0.062,
18,d01SER,,0.129371,0.00106637,0.062,
18,d01SERp03,,1.14891,0.041966,0.062,
19,d01,,2.27167,0.336044,0.062,
19,d01_sp03,,1.73736,0.197068,0.062,
19,d01_spinyNOSER smooth5,24feb2017KH,0.42959,0.0119227,0.062,
19,d01SER,,0.0986918,0.000712413,0.062,
19,d01SER,,0.233018,0.00244981,0.062,
19,d01SER,,0.917748,0.023815,0.062,
19,d01SER,,0.195804,0.00237778,0.062,
19,d01SER,,0.1659,0.00193601,0.062,
19,d01SER,,0.117846,0.000946086,0.062,
19,d01SER,,0.179669,0.00238947,0.062,
19,d01SERp03,,0.1659,0.00193601,0.062,
19,d01SERp03,,0.195804,0.00237778,0.062,
19,d01SERp03,,0.917748,0.023815,0.062,
19,d01SERp03,,0.233018,0.00244981,0.062,
19,d01SERp03,,0.0986918,0.000712413,0.062,
20,d01,,2.22016,0.319062,0.062,
20,d01_sp03,,1.65375,0.177169,0.062,
20,d01_spinyNOSER smooth5,24feb2017KH,0.284119,0.00546742,0.062,
20,d01SER,,0.126374,0.00108979,0.062,
20,d01SER,,1.68088,0.0406275,0.062,
20,d01SER,,0.184303,0.00238948,0.062,
20,d01SER,,0.106057,0.000807132,0.062,
20,d01SERp03,,0.126374,0.00108979,0.062,
20,d01SERp03,,1.68088,0.0406275,0.062,
21,d01,,2.24634,0.323901,0.062,
21,d01_sp03,,1.56121,0.15775,0.062,
21,d01_spinyNOSER smooth5,24feb2017KH,0.208821,0.00308172,0.062,
21,d01SER,,0.155378,0.00182974,0.062,
21,d01SER,,1.08565,0.0417686,0.062,
21,d01SER,,0.110046,0.000786578,0.062,
21,d01SER,,0.175994,0.00210754,0.062,
21,d01SERp03,,0.155378,0.00182974,0.062,
21,d01SERp03,,1.08565,0.0417686,0.062,
22,d01,,2.27051,0.34144,0.062,
22,d01_sp03,,1.52597,0.139233,0.062,
22,d01_spinyNOSER smooth5,24feb2017KH,0.218159,0.00352708,0.062,
22,d01SER,,0.398158,0.0114786,0.062,
22,d01SER,,0.143,0.00139489,0.062,
22,d01SER,,0.249265,0.00434892,0.062,
22,d01SERp03,,0.398158,0.0114786,0.062,
23,d01,,2.27051,0.34144,0.062,
23,d01_sp03,,1.52597,0.139233,0.062,
23,d01_spinyNOSER smooth5,24feb2017KH,0.192546,0.00250501,0.062,
23,d01SER,,0.388771,0.00849643,0.062,
23,d01SER,,0.359412,0.00458272,0.062,
23,d01SER,,0.158598,0.00186452,0.062,
23,d01SERp03,,0.388771,0.00849643,0.062,
24,d01,,2.30588,0.359755,0.062,
24,d01_sp03,,1.25456,0.104516,0.062,
24,d01_sp05,,0.535817,0.0204808,0.062,
24,d01_spinyNOSER smooth5,,0.480125,0.0175696,0.062,
24,d01SER,,0.44365,0.00967645,0.062,
24,d01SER,,0.300579,0.00382183,0.062,
24,d01SER,,0.165745,0.00136243,0.062,
24,d01SER,,0.158072,0.00180881,0.062,
24,d01SERp03,,0.44365,0.00967645,0.062,
25,d01,,2.299,0.365553,0.062,
25,d01_sp03,,1.16966,0.0859412,0.062,
25,d01_sp05,,0.762765,0.0430328,0.062,
25,d01_spinyNOSER smooth5,,0.722494,0.0395236,0.062,
25,d01SER,,0.410314,0.0064608,0.062,
25,d01SER,,0.150718,0.00134417,0.062,
25,d01SER,,0.131068,0.00120047,0.062,
25,d01SER,,0.237036,0.00397894,0.062,
25,d01SERp03,,0.410314,0.0064608,0.062,
26,d01,,2.33905,0.373976,0.062,
26,d01_sp03,,0.918122,0.0502925,0.062,
26,d01_sp05,,1.15589,0.0953946,0.062,
26,d01_spinyNOSER smooth5,,1.1046,0.0912087,0.062,
26,d01p03,,0.115112,0.000636758,0.062,
26,d01plinn03,,0.125667,0.000987012,0.062,
26,d01SER,,0.123364,0.00108487,0.062,
26,d01SER,,0.109357,0.000837253,0.062,
26,d01SER,,0.115484,0.000982926,0.062,
26,d01SER,,0.111978,0.000916061,0.062,
26,d01SERp03,,0.123364,0.00108487,0.062,
27,d01,,2.31494,0.372435,0.062,
27,d01_sp03,,1.02328,0.0393933,0.062,
27,d01_sp05,,1.18978,0.100152,0.062,
27,d01_spinyNOSER smooth5,,1.19286,0.104523,0.062,
27,d01c05,,0.812104,0.028177,0.062,
27,d01c05 smooth5,,0.759767,0.0264387,0.062,
27,d01cfa05,,0.340139,0,0.062,
27,d01p03,,0.129839,0.00105363,0.062,
27,d01p05dia,,0.40621,0,0.062,
27,d01SER,,0.826688,0.0164619,0.062,
27,d01SER,,0.107266,0.000786406,0.062,
27,d01SER,,0.0918414,0.000585219,0.062,
27,d01SERp03,,0.502774,0.00685731,0.062,
28,d01,,2.34796,0.376403,0.062,
28,d01_sp03,,0.731375,0.0224664,0.062,
28,d01_sp05,,1.11065,0.085966,0.062,
28,d01_spinyNOSER smooth5,,1.06948,0.0831915,0.062,
28,d01c05,,0.750297,0.0249044,0.062,
28,d01c05 smooth5,,0.703937,0.0223544,0.062,
28,d01cfa05,,0.321301,0,0.062,
28,d01p03,,0.129853,0.00105386,0.062,
28,d01SER,,0.134874,0.00120762,0.062,
28,d01SER,,0.104301,0.000793425,0.062,
28,d01SER,,0.551172,0.0179209,0.062,
29,d01,,2.35528,0.381198,0.062,
29,d01_sp03,,0.447618,0.0100877,0.062,
29,d01_sp05,,0.949925,0.0520944,0.062,
29,d01_spinyNOSER smooth5,,0.895632,0.0501393,0.062,
29,d01c05,,0.742506,0.0259932,0.062,
29,d01c05 smooth5,,0.688055,0.0231462,0.062,
29,d01cfa05,,0.31158,0,0.062,
29,d01p03,,0.129853,0.00105386,0.062,
29,d01SER,,0.0959753,0.000684689,0.062,
29,d01SER,,0.43883,0.0112843,0.062,
29,d01SER,,0.102203,0.000735666,0.062,
30,d01,,2.38397,0.371936,0.062,
30,d01_aspiny1,,2.38397,0.371936,0.062,
30,d01_sp05,,0.64477,0.026821,0.062,
30,d01_spinyNOSER smooth5,,0.603263,0.0237964,0.062,
30,d01c05,,0.428283,0.0104782,0.062,
30,d01c05 smooth5,,0.371462,0.00767774,0.062,
30,d01cfa05,,0.166753,0,0.062,
30,d01SER,,0.133345,0.00106877,0.062,
30,d01SER,,0.100216,0.000735494,0.062,
30,d01SER,,0.332032,0.00650258,0.062,
31,d01,,2.43848,0.388081,0.062,
31,d01_aspiny1,,2.43848,0.388081,0.062,
31,d01_sp05,,0.554523,0.0199461,0.062,
31,d01_spinyNOSER smooth5,,0.518255,0.0187288,0.062,
31,d01c05,,0.490028,0.0110999,0.062,
31,d01c05 smooth5,,0.439998,0.00954181,0.062,
31,d01cfa05,,0.232163,0,0.062,
31,d01SER,,0.101668,0.000761143,0.062,
31,d01SER,,0.140578,0.00135779,0.062,
31,d01SER,,0.124851,0.00106883,0.062,
31,d01SER,,0.531895,0.0150365,0.062,
32,d01,,2.55699,0.397445,0.062,
32,d01_aspiny1,,2.55699,0.397445,0.062,
32,d01_sp05,,0.441041,0.0121904,0.062,
32,d01_spinyNOSER smooth5,,0.386228,0.0102415,0.062,
32,d01SER,,0.107898,0.000707877,0.062,
32,d01SER,,0.124674,0.0010665,0.062,
32,d01SER,,0.309246,0.00411518,0.062,
32,d01SER,,0.105586,0.000788599,0.062,
33,d01,,2.51369,0.401385,0.062,
33,d01_aspiny1,,2.51369,0.401385,0.062,
33,d01_sp05,,0.441252,0.0126073,0.062,
33,d01_spinyNOSER smooth5,,0.407383,0.0114088,0.062,
33,d01SER,,0.106097,0.000821397,0.062,
33,d01SER,,0.256135,0.00440931,0.062,
33,d01SER,,0.119301,0.000872234,0.062,
33,d01SER,,0.0855259,0.00050195,0.062,
34,d01,,2.4977,0.413251,0.062,
34,d01_aspiny1,,2.4977,0.413251,0.062,
34,d01_sp05,,0.593912,0.024221,0.062,
34,d01_spinyNOSER smooth5,,0.518209,0.0190551,0.062,
34,d01SER,,0.105224,0.000680077,0.062,
34,d01SER,,0.0558555,0.000222095,0.062,
34,d01SER,,0.334898,0.00677783,0.062,
35,d01,,2.48852,0.421743,0.062,
35,d01_aspiny1,,2.48852,0.421743,0.062,
35,d01_sp05,,0.627767,0.0282673,0.062,
35,d01_spinyNOSER smooth5,24feb2017KH,0.166931,0.00216443,0.062,
35,d01_spinyNOSER smooth5,,0.573827,0.0245748,0.062,
35,d01c04,24feb2017KH,0.715244,0.0271176,0.062,
35,d01c04 smooth5,24feb2017KH,0.684388,0.0264681,0.062,
35,d01SER,,0.0946926,0.000610589,0.062,
35,d01SER,,0.103603,0.000717272,0.062,
35,d01SER,,0.245239,0.00385152,0.062,
36,d01,,2.58442,0.414653,0.062,
36,d01_aspiny1,,2.58442,0.414653,0.062,
36,d01_sp05,,0.668127,0.0316891,0.062,
36,d01_sp47,,0.660826,0.0312912,0.062,
36,d01_sp47,,0.660826,0.0312912,0.062,
36,d01_spinyNOSER smooth5,,0.633671,0.0292806,0.062,
36,d01_spinyNOSER smooth5,,1.04534,0.0741123,0.062,
36,d01c04,,0.862351,0.0423678,0.062,
36,d01c04 smooth5,,0.792475,0.0396237,0.062,
36,d01c47,,0.241649,0.00390335,0.062,
36,d01cfa04,,0.862351,0.0423678,0.062,
36,d01cfa47,,0.078388,0,0.062,
36,d01SER,,0.131048,0.00124663,0.062,
36,d01SER,,0.200872,0.00281072,0.062,
36,d01SER,,0.185679,0.0025586,0.062,
37,d01,,2.5663,0.419384,0.062,
37,d01_aspiny1,,2.5663,0.419384,0.062,
37,d01_sp04,,1.39908,0.0963951,0.062,
37,d01_sp05,,0.816737,0.035972,0.062,
37,d01_sp47,,1.15717,0.0848432,0.062,
37,d01_spinyNOSER smooth5,,2.48234,0.416263,0.062,
37,d01_spinyNOSER smooth5,,0.766209,0.0336601,0.062,
37,d01_spinyNOSER smooth5,,1.33994,0.0923274,0.062,
37,d01c47,,0.727739,0.0244838,0.062,
37,d01cfa47,,0.294331,0,0.062,
37,d01p04dia,,0.566227,0,0.062,
37,d01SER,,0.138516,0.00129071,0.062,
37,d01SER,,0.155971,0.00109438,0.062,
37,d01SER,,0.254728,0.00417112,0.062,
38,d01,,2.52381,0.410224,0.062,
38,d01_sp04,,0.419082,0.0075365,0.062,
38,d01_sp04,,1.38708,0.102717,0.062,
38,d01_sp05,,0.951042,0.0424446,0.062,
38,d01_sp47,,1.3571,0.111509,0.062,
38,d01_spinyNOSER smooth5,,0.913013,0.0397496,0.062,
