Z-Trace,Note,Start,End,Length,
d01_cl00_asyn_zlen,,73,78,0.316724,
d01_cl01_syn_zlen,,78,90,0.744757,
d01_cl02_asyn_zlen,,90,94,0.253171,
d01_cl03_syn_zlen,,94,122,1.79792,
d01_cl04_asyn_zlen,,122,127,0.319484,
d01_cl05_syn_symm_zlen,,127,154,1.71816,
d01_cl06_asyn_zlen,,154,156,0.124,
d01_cl07_syn_symm_zlen,,156,170,0.950425,
d01_cl08_asyn_zlen,,170,172,0.124222,
d01_cl09_syn_zlen,,172,174,0.124,
d01_cl10_asyn_zlen,,174,176,0.129278,
d01_cl11_syn_zlen,,176,188,0.918003,
d01_cl12_asyn_zlen,,188,190,0.124014,
d01_Z,,1,210,16.9024,
d01_Z smooth10,,1,210,13.9132,
d01_Z smooth10_analyzed_length,,9,208,13.2768,
d010zlen_,5jan2017KH,21,35,1.04681,
d010zlen_,5jan2017KH,21,35,1.05004,
d01plinn01,,9,10,0.0620815,
d01plinn02,,10,26,0.998932,
d01plinn03,,26,38,0.762311,
d01plinn04,,38,41,0.213081,
d01plinn05,,41,54,0.81951,
d01plinn06,,54,55,0.0685611,
d01plinn07,,55,58,0.196765,
d01plinn08,,58,62,0.249478,
d01plinn09,,62,78,1.03931,
d01plinn10,,78,82,0.249377,
d01plinn11,,82,85,0.191548,
d01plinn12,,85,95,0.623153,
d01plinn13,,95,96,0.0794465,
d01plinn14,,96,99,0.206361,
d01plinn15,,99,108,0.56439,
d01plinn16,,108,111,0.190203,
d01plinn17,,111,112,0.167453,
d01plinn18,,112,116,0.279779,
d01plinn19,,116,118,0.186784,
d01plinn20,,118,119,0.0861977,
d01plinn21,,119,127,0.500901,
d01plinn22,,127,129,0.140494,
d01plinn23,,129,131,0.136566,
d01plinn24,,131,136,0.321876,
d01plinn25,,136,139,0.18986,
d01plinn26,,139,143,0.269678,
d01plinn27,,143,146,0.186027,
d01plinn28,,146,149,0.193693,
d01plinn29,,149,156,0.442914,
d01plinn30,,156,158,0.160192,
d01plinn31,,158,160,0.175007,
d01plinn32,,160,161,0.0643131,
d01plinn33,,161,162,0.0675947,
d01plinn34,,162,177,1.02573,
d01plinn35,,177,180,0.18743,
d01plinn36,,180,183,0.231486,
d01plinn37,,182,183,0.0621624,
d01plinn38,,183,184,0.103265,
d01plinn39,,184,191,0.49565,
d01plinn40,,191,193,0.229928,
d01plinn41,,193,195,0.167562,
d01plinn42,,195,197,0.251356,
d01plinn43,,197,198,0.0685556,
d01plinn44,,198,208,0.728335,
d01z01,,9,107,6.16471,
d01z02,,9,107,6.17178,
d01z03,,9,107,6.17457,
d01zlen_,,156,169,0.936749,
d01zlen_,,156,169,0.933953,
d01zlen_,,177,188,0.809291,
d01zlen_,,177,188,0.807527,
d01zlen_,,127,153,1.67092,
d01zlen_,,127,153,1.69166,
d01zlen_,,108,121,0.862049,
d01zlen_,,108,121,0.853454,
d01zlen_,,108,121,0.854651,
d01zlen_,,108,121,0.853673,
d01zlen_,,78,89,0.682,
d01zlen_,,78,89,0.682003,
d01zlen_down,17sep2016KH,9,208,13.1555,
d01zlen_up,17sep2016KH,9,208,13.1754,
