sec,x,y
1.0,4.0477,8.56091
2.0,4.05125,8.55016
3.0,4.05783,8.54042
4.0,4.06747,8.52197
5.0,4.08044,8.49525
6.0,4.09341,8.46852
7.0,4.1033,8.42986
8.0,4.12024,8.39038
9.0,4.13514,8.34969
10.0,4.14847,8.3046
11.0,4.16299,8.24883
12.0,4.17503,8.19541
13.0,4.18983,8.13504
14.0,4.20258,8.07631
15.0,4.21217,8.02368
16.0,4.22132,7.96906
17.0,4.23383,7.92752
18.0,4.23177,7.88346
19.0,4.22837,7.84423
20.0,4.23219,7.80743
21.0,4.22893,7.77845
22.0,4.22951,7.74309
23.0,4.22682,7.70912
24.0,4.22436,7.67736
25.0,4.22453,7.6402
26.0,4.23655,7.602
27.0,4.23755,7.55963
28.0,4.25128,7.51622
29.0,4.26685,7.47019
30.0,4.27509,7.42781
31.0,4.28586,7.38594
32.0,4.29562,7.34746
33.0,4.30118,7.31103
34.0,4.3028,7.2735
35.0,4.30213,7.24379
36.0,4.2907,7.21206
37.0,4.28711,7.18097
38.0,4.2814,7.15255
39.0,4.27274,7.12447
40.0,4.26752,7.09491
41.0,4.26355,7.06225
42.0,4.25648,7.03313
43.0,4.25193,7.00496
44.0,4.25142,6.97771
45.0,4.25041,6.94521
46.0,4.25276,6.91405
47.0,4.25486,6.88481
48.0,4.25504,6.85488
49.0,4.2533,6.8249
50.0,4.24467,6.79429
51.0,4.24173,6.76147
52.0,4.23585,6.72378
53.0,4.22946,6.67976
54.0,4.22189,6.63637
55.0,4.22189,6.59652
56.0,4.20608,6.55085
57.0,4.19129,6.50462
58.0,4.1743,6.45827
59.0,4.16574,6.40981
60.0,4.16157,6.35869
61.0,4.15015,6.31117
62.0,4.14561,6.26578
63.0,4.14089,6.22899
64.0,4.13648,6.19404
65.0,4.12354,6.16092
66.0,4.12069,6.13593
67.0,4.11914,6.10898
68.0,4.12131,6.08066
69.0,4.12178,6.05484
70.0,4.12685,6.03312
71.0,4.13846,6.01361
72.0,4.15291,5.99262
73.0,4.17058,5.9687
74.0,4.18995,5.94412
75.0,4.21732,5.91158
76.0,4.24941,5.87798
77.0,4.2869,5.84164
78.0,4.32524,5.80868
79.0,4.36526,5.77471
80.0,4.40764,5.74209
81.0,4.44699,5.7098
82.0,4.48605,5.67828
83.0,4.52086,5.64881
84.0,4.55953,5.6177
85.0,4.59306,5.59101
86.0,4.62875,5.56718
87.0,4.66508,5.54261
88.0,4.69918,5.51911
89.0,4.73603,5.49505
90.0,4.76647,5.46915
91.0,4.7996,5.44056
92.0,4.83671,5.41038
93.0,4.88396,5.37897
94.0,4.93267,5.34788
95.0,4.9802,5.31727
96.0,5.02576,5.28219
97.0,5.07234,5.2481
98.0,5.1134,5.21222
99.0,5.1635,5.17626
100.0,5.22141,5.13779
101.0,5.27899,5.09674
102.0,5.33272,5.05962
103.0,5.3859,5.01894
104.0,5.43552,4.97908
105.0,5.49096,4.93862
106.0,5.5471,4.89633
107.0,5.59562,4.85568
108.0,5.66121,4.81517
109.0,5.70307,4.77245
110.0,5.7363,4.72617
111.0,5.77607,4.68944
112.0,5.79722,4.64521
113.0,5.83148,4.60872
114.0,5.8625,4.57813
115.0,5.88105,4.54481
116.0,5.9095,4.51732
117.0,5.93387,4.48998
118.0,5.94138,4.46477
119.0,5.9587,4.44625
120.0,5.97568,4.43271
121.0,5.98029,4.41601
122.0,5.99803,4.40566
123.0,5.99433,4.38515
124.0,5.98873,4.36717
125.0,5.98938,4.35106
126.0,5.97713,4.33513
127.0,5.97481,4.31696
128.0,5.97088,4.29256
129.0,5.96056,4.26962
130.0,5.95058,4.24546
131.0,5.94043,4.22999
132.0,5.92678,4.21792
133.0,5.91349,4.21389
134.0,5.90982,4.20644
135.0,5.89321,4.19783
136.0,5.87654,4.18693
137.0,5.85038,4.18181
138.0,5.83386,4.18061
139.0,5.81886,4.17849
140.0,5.80595,4.1783
141.0,5.7947,4.17879
142.0,5.78556,4.18055
143.0,5.77229,4.1819
144.0,5.75038,4.18183
145.0,5.74002,4.17979
146.0,5.72767,4.17597
147.0,5.72017,4.16902
148.0,5.70714,4.16045
149.0,5.69933,4.15131
150.0,5.68692,4.14172
151.0,5.67169,4.12123
152.0,5.64478,4.09592
153.0,5.63217,4.0707
154.0,5.61997,4.04573
155.0,5.60847,4.02701
156.0,5.59738,4.00909
157.0,5.58942,3.99317
158.0,5.58111,3.97566
159.0,5.57171,3.95627
160.0,5.56672,3.93113
161.0,5.5656,3.90838
162.0,5.57724,3.88858
163.0,5.57871,3.86654
164.0,5.57723,3.84352
165.0,5.57166,3.82078
166.0,5.56381,3.80359
167.0,5.54784,3.7837
168.0,5.53263,3.76831
169.0,5.516,3.75298
170.0,5.49695,3.74635
171.0,5.47571,3.73509
172.0,5.45243,3.72182
173.0,5.42934,3.70856
174.0,5.38951,3.69481
175.0,5.35076,3.67419
176.0,5.32831,3.65294
177.0,5.30788,3.63088
178.0,5.28948,3.60837
179.0,5.2699,3.58286
180.0,5.24919,3.55552
181.0,5.22502,3.52163
182.0,5.21596,3.48486
183.0,5.19989,3.45123
184.0,5.20037,3.41667
185.0,5.19293,3.39592
186.0,5.17224,3.36599
187.0,5.1484,3.34049
188.0,5.12877,3.30684
189.0,5.11156,3.27686
190.0,5.09702,3.24532
191.0,5.08609,3.22286
192.0,5.06557,3.2029
193.0,5.05412,3.17832
194.0,5.04432,3.15319
195.0,5.04414,3.12122
196.0,5.04322,3.0948
197.0,5.04839,3.06782
198.0,5.04563,3.04531
199.0,5.04526,3.02039
200.0,5.04593,2.99602
201.0,5.05148,2.97156
202.0,5.0537,2.94582
203.0,5.05509,2.92182
204.0,5.04899,2.89447
205.0,5.05195,2.86786
206.0,5.05195,2.83756
207.0,5.05213,2.80818
208.0,5.05509,2.78286
209.0,5.05419,2.76053
210.0,5.05273,2.7414
